"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","2,715.60","2,659.92","2,770.16","2,638.30","36.69B","0.75%"
"10/01/2024","2,695.51","2,661.65","2,752.04","2,605.71","42.73B","1.87%"
"09/01/2024","2,645.94","2,734.04","2,743.75","2,508.20","37.87B","-2.46%"
"08/01/2024","2,712.63","2,767.44","2,768.22","2,206.73","47.91B","-2.92%"
"07/01/2024","2,794.26","2,831.63","2,946.60","2,695.45","41.63B","-0.55%"
"06/01/2024","2,809.63","2,791.68","2,821.86","2,692.52","34.34B","1.34%"
"05/01/2024","2,772.49","2,727.92","2,785.68","2,696.05","40.80B","1.07%"
"04/01/2024","2,743.17","2,782.19","2,784.30","2,598.45","39.19B","-0.92%"
"03/01/2024","2,768.62","2,676.97","2,820.45","2,617.90","40.45B","3.47%"
"02/01/2024","2,675.73","2,533.10","2,692.30","2,527.17","38.21B","4.89%"
"01/01/2024","2,551.10","2,359.28","2,565.89","2,335.58","32.60B","7.81%"
"12/01/2023","2,366.39","2,385.23","2,389.36","2,295.51","32.63B","-0.36%"
"11/01/2023","2,374.93","2,285.84","2,404.99","2,284.32","33.59B","5.38%"
"10/01/2023","2,253.72","2,338.51","2,355.98","2,196.95","33.02B","-3.00%"
"09/01/2023","2,323.39","2,328.60","2,438.02","2,315.83","32.00B","-0.37%"
"08/01/2023","2,332.00","2,327.00","2,337.91","2,227.62","31.69B","0.41%"
"07/01/2023","2,322.56","2,307.59","2,330.12","2,215.76","29.74B","1.48%"
"06/01/2023","2,288.60","2,130.77","2,312.07","2,127.83","33.25B","7.41%"
"05/01/2023","2,130.63","2,070.37","2,188.66","2,068.04","28.54B","3.56%"
"04/01/2023","2,057.48","2,015.05","2,057.48","1,958.82","21.74B","2.69%"
"03/01/2023","2,003.50","1,989.38","2,071.60","1,910.60","29.20B","0.51%"
"02/01/2023","1,993.28","1,984.12","2,003.46","1,960.72","22.85B","0.91%"
"01/01/2023","1,975.27","1,879.19","1,991.14","1,862.27","22.16B","4.42%"
"12/01/2022","1,891.71","1,996.72","2,001.06","1,880.88","25.49B","-4.73%"
"11/01/2022","1,985.57","1,934.45","2,023.39","1,907.61","26.49B","2.91%"
"10/01/2022","1,929.43","1,827.32","1,930.47","1,815.30","24.73B","5.09%"
"09/01/2022","1,835.94","1,945.70","1,987.55","1,830.55","24.01B","-6.48%"
"08/01/2022","1,963.16","1,943.06","2,006.99","1,923.52","25.05B","1.18%"
"07/01/2022","1,940.31","1,875.59","1,958.64","1,836.73","22.78B","3.71%"
