"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","153.95","151.98","156.75","151.29","","1.26%"
"10/01/2024","152.03","143.60","153.65","143.27","","5.86%"
"09/01/2024","143.62","146.18","147.20","139.56","","-1.74%"
"08/01/2024","146.16","149.97","150.89","141.66","","-2.55%"
"07/01/2024","149.98","160.88","162.01","149.60","","-6.76%"
"06/01/2024","160.86","157.33","161.30","154.56","","2.26%"
"05/01/2024","157.31","157.74","158.04","151.87","","-0.31%"
"04/01/2024","157.80","151.32","160.04","150.81","","4.29%"
"03/01/2024","151.31","149.98","151.98","146.48","","0.89%"
"02/01/2024","149.98","146.90","150.90","145.89","","2.11%"
"01/01/2024","146.88","140.84","148.82","140.81","","4.13%"
"12/01/2023","141.06","148.21","148.35","140.25","","-4.81%"
"11/01/2023","148.19","151.71","151.95","146.66","","-2.29%"
"10/01/2023","151.67","149.48","151.76","147.38","","1.55%"
"09/01/2023","149.35","145.54","149.74","144.44","","2.62%"
"08/01/2023","145.53","142.30","147.38","141.52","","2.28%"
"07/01/2023","142.28","144.37","144.96","137.24","","-1.41%"
"06/01/2023","144.32","139.35","145.08","138.46","","3.57%"
"05/01/2023","139.34","136.29","140.95","133.50","","2.25%"
"04/01/2023","136.28","132.99","136.57","130.63","","2.63%"
"03/01/2023","132.79","136.22","137.92","129.65","","-2.50%"
"02/01/2023","136.20","130.09","136.95","128.08","","4.70%"
"01/01/2023","130.09","131.13","134.79","127.22","","-0.78%"
"12/01/2022","131.11","138.07","138.18","130.57","","-5.01%"
"11/01/2022","138.03","148.71","148.83","137.49","","-7.18%"
"10/01/2022","148.71","144.61","151.96","143.52","","2.74%"
"09/01/2022","144.75","138.97","145.91","138.92","","4.17%"
"08/01/2022","138.96","133.23","139.08","130.40","","4.33%"
"07/01/2022","133.19","135.73","139.40","132.51","","-1.87%"
"06/01/2022","135.73","128.65","137.01","128.63","","5.48%"
"05/01/2022","128.68","129.77","131.36","126.36","","-0.89%"
"04/01/2022","129.83","121.67","131.26","121.67","","6.72%"
"03/01/2022","121.66","115.00","125.11","114.64","","5.80%"
"02/01/2022","114.99","115.13","116.35","114.15","","-0.10%"
"01/01/2022","115.10","115.10","116.36","113.47","","0.02%"
"12/01/2021","115.08","113.18","115.21","112.56","","1.72%"
"11/01/2021","113.13","113.97","115.53","112.53","","-0.76%"
"10/01/2021","114.00","111.28","114.71","110.82","","2.45%"
"09/01/2021","111.27","110.03","112.08","109.11","","1.14%"
"08/01/2021","110.02","109.69","110.81","108.72","","0.29%"
"07/01/2021","109.70","111.11","111.67","109.07","","-1.26%"
"06/01/2021","111.10","109.57","111.12","109.18","","1.42%"
"05/01/2021","109.54","109.26","110.21","108.33","","0.25%"
"04/01/2021","109.27","110.75","110.86","107.47","","-1.29%"
"03/01/2021","110.70","106.57","110.97","106.36","","3.87%"
"02/01/2021","106.58","104.68","106.70","104.41","","1.82%"
"01/01/2021","104.68","103.25","104.95","102.58","","1.39%"
"12/01/2020","103.24","104.32","104.76","102.88","","-0.99%"
"11/01/2020","104.27","104.57","105.69","103.17","","-0.35%"
"10/01/2020","104.64","105.46","106.12","104.03","","-0.77%"
"09/01/2020","105.45","105.93","106.57","104.00","","-0.42%"
"08/01/2020","105.89","105.89","107.06","105.10","","0.01%"
"07/01/2020","105.88","107.93","108.17","104.18","","-1.89%"
"06/01/2020","107.92","107.74","109.86","106.07","","0.14%"
"05/01/2020","107.77","107.18","108.09","105.98","","0.56%"
"04/01/2020","107.17","107.54","109.39","106.36","","-0.33%"
"03/01/2020","107.53","107.39","111.72","101.18","","-0.50%"
"02/01/2020","108.07","108.41","112.22","107.50","","-0.29%"
"01/01/2020","108.38","108.63","110.29","107.64","","-0.21%"
"12/01/2019","108.61","109.54","109.74","108.43","","-0.82%"
"11/01/2019","109.51","108.07","109.68","107.89","","1.38%"
"10/01/2019","108.02","108.08","109.29","106.48","","-0.04%"
"09/01/2019","108.06","106.25","108.48","105.74","","1.67%"
"08/01/2019","106.29","108.79","109.32","104.46","","-2.25%"
"07/01/2019","108.74","108.11","109.00","107.21","","0.80%"
"06/01/2019","107.88","108.38","108.81","106.78","","-0.35%"
"05/01/2019","108.26","111.43","111.69","108.27","","-2.83%"
"04/01/2019","111.41","110.81","112.41","110.81","","0.51%"
"03/01/2019","110.84","111.39","112.14","109.71","","-0.48%"
"02/01/2019","111.37","108.88","111.50","108.72","","2.30%"
"01/01/2019","108.87","109.57","110.00","104.97","","-0.63%"
"12/01/2018","109.56","113.47","113.86","109.55","","-3.44%"
"11/01/2018","113.46","112.94","114.21","112.30","","0.47%"
"10/01/2018","112.93","113.69","114.56","111.38","","-0.66%"
"09/01/2018","113.68","111.08","113.71","110.38","","2.40%"
"08/01/2018","111.02","111.88","112.15","109.77","","-0.75%"
"07/01/2018","111.86","110.68","113.17","110.28","","1.08%"
"06/01/2018","110.66","108.82","110.94","108.71","","1.70%"
"05/01/2018","108.81","109.35","111.40","108.11","","-0.48%"
"04/01/2018","109.33","106.25","109.54","105.65","","2.89%"
"03/01/2018","106.26","106.68","107.31","104.56","","-0.38%"
"02/01/2018","106.67","109.20","110.49","105.54","","-2.29%"
"01/01/2018","109.17","112.67","113.39","108.28","","-3.11%"
"12/01/2017","112.67","112.54","113.76","111.42","","0.13%"
"11/01/2017","112.52","113.64","114.74","110.84","","-0.97%"
"10/01/2017","113.62","112.56","114.45","111.65","","1.02%"
"09/01/2017","112.47","109.97","113.26","107.32","","2.28%"
"08/01/2017","109.96","110.25","111.06","108.26","","-0.26%"
"07/01/2017","110.25","112.14","114.51","110.20","","-1.87%"
"06/01/2017","112.35","110.76","112.93","108.82","","1.44%"
"05/01/2017","110.75","111.31","114.38","110.22","","-0.70%"
"04/01/2017","111.53","111.39","111.79","108.13","","0.13%"
"03/01/2017","111.38","112.78","115.51","110.11","","-1.22%"
"02/01/2017","112.75","112.81","114.97","111.59","","-0.03%"
"01/01/2017","112.78","117.00","118.62","112.06","","-3.50%"
"12/01/2016","116.87","114.44","118.68","112.86","","2.12%"
"11/01/2016","114.44","104.82","114.55","101.18","","9.19%"
"10/01/2016","104.81","101.36","105.54","101.21","","3.43%"
"09/01/2016","101.33","103.43","104.33","100.09","","-2.02%"
"08/01/2016","103.42","102.07","103.54","99.54","","1.34%"
"07/01/2016","102.05","103.29","107.49","100.04","","-1.16%"
"06/01/2016","103.25","110.71","110.83","99.10","","-6.71%"
"05/01/2016","110.68","106.30","111.45","105.54","","4.07%"
"04/01/2016","106.35","112.57","112.60","106.28","","-5.52%"
"03/01/2016","112.56","112.68","114.57","110.67","","-0.09%"
"02/01/2016","112.66","121.11","121.49","111.00","","-6.92%"
"01/01/2016","121.03","120.29","121.69","115.97","","0.61%"
"12/01/2015","120.30","123.11","123.68","120.00","","-2.26%"
"11/01/2015","123.08","120.66","123.69","120.25","","2.05%"
"10/01/2015","120.61","119.88","121.53","118.06","","0.64%"
"09/01/2015","119.84","121.22","121.33","118.68","","-1.14%"
"08/01/2015","121.22","124.03","125.30","116.46","","-2.18%"
"07/01/2015","123.92","122.49","124.60","120.40","","1.17%"
"06/01/2015","122.49","124.13","125.86","121.93","","-1.31%"
"05/01/2015","124.11","119.38","124.47","118.88","","4.00%"
"04/01/2015","119.34","120.13","120.86","118.49","","-0.65%"
"03/01/2015","120.12","119.64","122.04","118.32","","0.51%"
"02/01/2015","119.51","117.47","120.49","116.67","","1.76%"
"01/01/2015","117.44","119.69","120.75","115.84","","-1.87%"
"12/01/2014","119.68","118.71","121.86","115.57","","0.90%"
