カテゴリ: すべてのカテゴリ

月,消費税: (日本)
2012-12,14
2013-01,16
2013-02,18
2013-03,20
2013-04,19
2013-05,20
2013-06,20
2013-07,20
2013-08,23
2013-09,28
2013-10,39
2013-11,27
2013-12,26
2014-01,36
2014-02,46
2014-03,87
2014-04,54
2014-05,31
2014-06,27
2014-07,24
2014-08,24
2014-09,22
2014-10,24
2014-11,26
2014-12,19
2015-01,20
2015-02,23
2015-03,26
2015-04,22
2015-05,20
2015-06,19
2015-07,20
2015-08,21
2015-09,21
2015-10,21
2015-11,20
2015-12,21
2016-01,20
2016-02,23
2016-03,23
2016-04,18
2016-05,20
2016-06,18
2016-07,15
2016-08,17
2016-09,14
2016-10,14
2016-11,16
2016-12,13
2017-01,15
2017-02,18
2017-03,19
2017-04,15
2017-05,16
2017-06,15
2017-07,14
2017-08,18
2017-09,17
2017-10,17
2017-11,17
2017-12,16
2018-01,16
2018-02,20
2018-03,20
2018-04,17
2018-05,18
2018-06,17
2018-07,16
2018-08,20
2018-09,18
2018-10,28
2018-11,24
2018-12,20
2019-01,22
2019-02,25
2019-03,29
2019-04,25
2019-05,24
2019-06,24
2019-07,30
2019-08,42
2019-09,100
2019-10,56
2019-11,31
2019-12,24
2020-01,21
2020-02,24
2020-03,25
2020-04,20
2020-05,18
2020-06,19
2020-07,18
2020-08,20
2020-09,19
2020-10,18
2020-11,17
2020-12,16
2021-01,16
2021-02,20
2021-03,22
2021-04,18
2021-05,15
2021-06,15
2021-07,15
2021-08,15
2021-09,14
2021-10,16
2021-11,15
2021-12,14
2022-01,15
2022-02,19
2022-03,20
2022-04,17
2022-05,16
2022-06,18
2022-07,17
2022-08,18
2022-09,17
2022-10,17
2022-11,19
2022-12,17
2023-01,17
2023-02,22
2023-03,22
2023-04,18
2023-05,17
2023-06,18
2023-07,20
2023-08,22
2023-09,26
2023-10,29
2023-11,25
2023-12,20
2024-01,20
2024-02,27
2024-03,28
2024-04,20
2024-05,22
2024-06,19
2024-07,18
2024-08,19
2024-09,18
