カテゴリ: すべてのカテゴリ

月,生活コスト: (日本)
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,49
2014-05,0
2014-06,43
2014-07,0
2014-08,0
2014-09,0
2014-10,47
2014-11,100
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,59
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,0
2015-12,61
2016-01,38
2016-02,60
2016-03,58
2016-04,38
2016-05,63
2016-06,67
2016-07,35
2016-08,44
2016-09,45
2016-10,32
2016-11,37
2016-12,29
2017-01,45
2017-02,39
2017-03,34
2017-04,0
2017-05,42
2017-06,31
2017-07,0
2017-08,0
2017-09,0
2017-10,39
2017-11,40
2017-12,36
2018-01,44
2018-02,40
2018-03,52
2018-04,36
2018-05,40
2018-06,42
2018-07,31
2018-08,36
2018-09,36
2018-10,0
2018-11,63
2018-12,46
2019-01,80
2019-02,54
2019-03,50
2019-04,0
2019-05,35
2019-06,40
2019-07,35
2019-08,0
2019-09,34
2019-10,51
2019-11,48
2019-12,0
2020-01,51
2020-02,31
2020-03,41
2020-04,29
2020-05,31
2020-06,56
2020-07,47
2020-08,27
2020-09,45
2020-10,46
2020-11,33
2020-12,48
2021-01,47
2021-02,38
2021-03,65
2021-04,32
2021-05,37
2021-06,41
2021-07,34
2021-08,33
2021-09,51
2021-10,79
2021-11,49
2021-12,42
2022-01,72
2022-02,43
2022-03,33
2022-04,31
2022-05,47
2022-06,51
2022-07,30
2022-08,40
2022-09,29
2022-10,45
2022-11,52
2022-12,41
2023-01,70
2023-02,51
2023-03,36
2023-04,52
2023-05,45
2023-06,68
2023-07,63
2023-08,52
2023-09,36
2023-10,54
2023-11,79
2023-12,67
2024-01,69
2024-02,100
2024-03,54
2024-04,73
2024-05,61
2024-06,72
2024-07,50
2024-08,41
2024-09,48
