カテゴリ: すべてのカテゴリ

月,可処分所得: (日本)
2012-12,44
2013-01,49
2013-02,38
2013-03,41
2013-04,35
2013-05,44
2013-06,36
2013-07,46
2013-08,29
2013-09,30
2013-10,35
2013-11,31
2013-12,31
2014-01,45
2014-02,46
2014-03,32
2014-04,33
2014-05,37
2014-06,37
2014-07,40
2014-08,29
2014-09,31
2014-10,40
2014-11,38
2014-12,33
2015-01,41
2015-02,40
2015-03,33
2015-04,36
2015-05,35
2015-06,34
2015-07,35
2015-08,28
2015-09,33
2015-10,36
2015-11,36
2015-12,41
2016-01,41
2016-02,29
2016-03,30
2016-04,23
2016-05,27
2016-06,31
2016-07,29
2016-08,22
2016-09,30
2016-10,24
2016-11,27
2016-12,35
2017-01,43
2017-02,35
2017-03,28
2017-04,24
2017-05,29
2017-06,31
2017-07,40
2017-08,31
2017-09,29
2017-10,49
2017-11,43
2017-12,37
2018-01,46
2018-02,44
2018-03,34
2018-04,32
2018-05,37
2018-06,33
2018-07,38
2018-08,34
2018-09,38
2018-10,37
2018-11,36
2018-12,38
2019-01,50
2019-02,40
2019-03,31
2019-04,33
2019-05,32
2019-06,36
2019-07,38
2019-08,35
2019-09,35
2019-10,34
2019-11,38
2019-12,41
2020-01,44
2020-02,36
2020-03,30
2020-04,29
2020-05,38
2020-06,44
2020-07,38
2020-08,38
2020-09,48
2020-10,41
2020-11,34
2020-12,35
2021-01,48
2021-02,44
2021-03,31
2021-04,39
2021-05,35
2021-06,42
2021-07,37
2021-08,34
2021-09,42
2021-10,42
2021-11,44
2021-12,45
2022-01,57
2022-02,45
2022-03,37
2022-04,43
2022-05,45
2022-06,66
2022-07,50
2022-08,32
2022-09,43
2022-10,53
2022-11,49
2022-12,48
2023-01,58
2023-02,50
2023-03,38
2023-04,43
2023-05,44
2023-06,46
2023-07,44
2023-08,36
2023-09,43
2023-10,59
2023-11,100
2023-12,55
2024-01,52
2024-02,60
2024-03,53
2024-04,58
2024-05,64
2024-06,63
2024-07,47
2024-08,39
2024-09,55
