カテゴリ: すべてのカテゴリ

月,家計支出: (日本)
2012-12,60
2013-01,86
2013-02,64
2013-03,61
2013-04,68
2013-05,68
2013-06,84
2013-07,78
2013-08,58
2013-09,53
2013-10,55
2013-11,71
2013-12,73
2014-01,70
2014-02,74
2014-03,62
2014-04,81
2014-05,82
2014-06,74
2014-07,96
2014-08,65
2014-09,55
2014-10,78
2014-11,94
2014-12,56
2015-01,100
2015-02,74
2015-03,73
2015-04,59
2015-05,66
2015-06,68
2015-07,65
2015-08,43
2015-09,57
2015-10,64
2015-11,83
2015-12,63
2016-01,76
2016-02,73
2016-03,70
2016-04,73
2016-05,74
2016-06,66
2016-07,57
2016-08,53
2016-09,72
2016-10,66
2016-11,66
2016-12,62
2017-01,83
2017-02,90
2017-03,41
2017-04,63
2017-05,66
2017-06,60
2017-07,56
2017-08,42
2017-09,51
2017-10,61
2017-11,67
2017-12,53
2018-01,76
2018-02,78
2018-03,62
2018-04,49
2018-05,55
2018-06,63
2018-07,61
2018-08,61
2018-09,53
2018-10,60
2018-11,67
2018-12,69
2019-01,85
2019-02,74
2019-03,60
2019-04,54
2019-05,59
2019-06,58
2019-07,53
2019-08,46
2019-09,51
2019-10,56
2019-11,54
2019-12,57
2020-01,68
2020-02,69
2020-03,49
2020-04,39
2020-05,64
2020-06,75
2020-07,68
2020-08,51
2020-09,57
2020-10,64
2020-11,58
2020-12,64
2021-01,68
2021-02,67
2021-03,62
2021-04,40
2021-05,55
2021-06,69
2021-07,57
2021-08,49
2021-09,56
2021-10,69
2021-11,64
2021-12,72
2022-01,70
2022-02,71
2022-03,62
2022-04,53
2022-05,71
2022-06,69
2022-07,56
2022-08,55
2022-09,52
2022-10,58
2022-11,69
2022-12,58
2023-01,78
2023-02,76
2023-03,60
2023-04,61
2023-05,58
2023-06,65
2023-07,59
2023-08,56
2023-09,68
2023-10,71
2023-11,78
2023-12,67
2024-01,82
2024-02,81
2024-03,63
2024-04,62
2024-05,64
2024-06,75
2024-07,55
2024-08,70
2024-09,57
