カテゴリ: すべてのカテゴリ

月,物価上昇率: (日本)
2012-12,39
2013-01,76
2013-02,33
2013-03,28
2013-04,39
2013-05,25
2013-06,19
2013-07,24
2013-08,13
2013-09,15
2013-10,16
2013-11,18
2013-12,17
2014-01,23
2014-02,27
2014-03,25
2014-04,22
2014-05,17
2014-06,20
2014-07,22
2014-08,10
2014-09,20
2014-10,25
2014-11,28
2014-12,28
2015-01,29
2015-02,39
2015-03,31
2015-04,28
2015-05,31
2015-06,25
2015-07,23
2015-08,15
2015-09,20
2015-10,18
2015-11,26
2015-12,22
2016-01,22
2016-02,31
2016-03,19
2016-04,23
2016-05,17
2016-06,21
2016-07,19
2016-08,17
2016-09,18
2016-10,17
2016-11,22
2016-12,19
2017-01,20
2017-02,23
2017-03,20
2017-04,15
2017-05,20
2017-06,21
2017-07,21
2017-08,17
2017-09,17
2017-10,18
2017-11,23
2017-12,20
2018-01,25
2018-02,31
2018-03,22
2018-04,17
2018-05,18
2018-06,23
2018-07,22
2018-08,23
2018-09,18
2018-10,21
2018-11,23
2018-12,18
2019-01,24
2019-02,22
2019-03,23
2019-04,21
2019-05,22
2019-06,26
2019-07,21
2019-08,16
2019-09,20
2019-10,17
2019-11,21
2019-12,24
2020-01,24
2020-02,20
2020-03,16
2020-04,16
2020-05,22
2020-06,21
2020-07,19
2020-08,17
2020-09,19
2020-10,17
2020-11,17
2020-12,15
2021-01,23
2021-02,22
2021-03,17
2021-04,17
2021-05,23
2021-06,22
2021-07,21
2021-08,15
2021-09,23
2021-10,29
2021-11,31
2021-12,30
2022-01,44
2022-02,41
2022-03,35
2022-04,51
2022-05,47
2022-06,61
2022-07,50
2022-08,31
2022-09,47
2022-10,59
2022-11,90
2022-12,43
2023-01,76
2023-02,75
2023-03,67
2023-04,60
2023-05,51
2023-06,53
2023-07,56
2023-08,50
2023-09,56
2023-10,64
2023-11,70
2023-12,63
2024-01,75
2024-02,100
2024-03,94
2024-04,89
2024-05,80
2024-06,79
2024-07,71
2024-08,53
2024-09,56
