カテゴリ: すべてのカテゴリ

月,購買力: (日本)
2012-12,50
2013-01,100
2013-02,70
2013-03,50
2013-04,61
2013-05,57
2013-06,44
2013-07,50
2013-08,34
2013-09,41
2013-10,39
2013-11,34
2013-12,47
2014-01,58
2014-02,35
2014-03,19
2014-04,33
2014-05,59
2014-06,45
2014-07,55
2014-08,29
2014-09,43
2014-10,50
2014-11,53
2014-12,46
2015-01,64
2015-02,42
2015-03,28
2015-04,51
2015-05,44
2015-06,51
2015-07,53
2015-08,27
2015-09,29
2015-10,37
2015-11,35
2015-12,40
2016-01,49
2016-02,51
2016-03,28
2016-04,39
2016-05,42
2016-06,43
2016-07,40
2016-08,30
2016-09,34
2016-10,28
2016-11,38
2016-12,34
2017-01,44
2017-02,35
2017-03,22
2017-04,30
2017-05,30
2017-06,31
2017-07,42
2017-08,28
2017-09,27
2017-10,30
2017-11,31
2017-12,22
2018-01,37
2018-02,35
2018-03,27
2018-04,32
2018-05,30
2018-06,33
2018-07,38
2018-08,31
2018-09,24
2018-10,30
2018-11,28
2018-12,29
2019-01,43
2019-02,29
2019-03,21
2019-04,26
2019-05,32
2019-06,31
2019-07,36
2019-08,23
2019-09,26
2019-10,21
2019-11,25
2019-12,31
2020-01,35
2020-02,22
2020-03,28
2020-04,19
2020-05,27
2020-06,32
2020-07,38
2020-08,33
2020-09,27
2020-10,31
2020-11,27
2020-12,35
2021-01,35
2021-02,26
2021-03,23
2021-04,28
2021-05,31
2021-06,34
2021-07,40
2021-08,27
2021-09,29
2021-10,46
2021-11,42
2021-12,38
2022-01,45
2022-02,44
2022-03,36
2022-04,38
2022-05,42
2022-06,52
2022-07,61
2022-08,31
2022-09,33
2022-10,45
2022-11,45
2022-12,38
2023-01,43
2023-02,30
2023-03,21
2023-04,25
2023-05,29
2023-06,36
2023-07,44
2023-08,33
2023-09,40
2023-10,40
2023-11,47
2023-12,38
2024-01,40
2024-02,47
2024-03,31
2024-04,55
2024-05,45
2024-06,57
2024-07,55
2024-08,37
2024-09,26
