カテゴリ: すべてのカテゴリ

月,実質所得: (日本)
2012-12,0
2013-01,43
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,57
2013-07,59
2013-08,0
2013-09,0
2013-10,34
2013-11,0
2013-12,50
2014-01,47
2014-02,46
2014-03,33
2014-04,43
2014-05,45
2014-06,51
2014-07,61
2014-08,37
2014-09,48
2014-10,36
2014-11,53
2014-12,50
2015-01,65
2015-02,67
2015-03,44
2015-04,48
2015-05,53
2015-06,44
2015-07,52
2015-08,0
2015-09,28
2015-10,51
2015-11,52
2015-12,39
2016-01,52
2016-02,48
2016-03,35
2016-04,0
2016-05,40
2016-06,37
2016-07,50
2016-08,29
2016-09,34
2016-10,0
2016-11,53
2016-12,37
2017-01,37
2017-02,31
2017-03,28
2017-04,0
2017-05,47
2017-06,38
2017-07,40
2017-08,0
2017-09,29
2017-10,0
2017-11,37
2017-12,34
2018-01,56
2018-02,58
2018-03,0
2018-04,32
2018-05,49
2018-06,40
2018-07,44
2018-08,29
2018-09,26
2018-10,35
2018-11,37
2018-12,41
2019-01,54
2019-02,58
2019-03,26
2019-04,28
2019-05,69
2019-06,32
2019-07,62
2019-08,25
2019-09,24
2019-10,23
2019-11,43
2019-12,39
2020-01,67
2020-02,49
2020-03,27
2020-04,42
2020-05,44
2020-06,71
2020-07,49
2020-08,56
2020-09,36
2020-10,40
2020-11,37
2020-12,60
2021-01,49
2021-02,41
2021-03,0
2021-04,31
2021-05,48
2021-06,62
2021-07,56
2021-08,33
2021-09,28
2021-10,81
2021-11,78
2021-12,0
2022-01,79
2022-02,36
2022-03,26
2022-04,46
2022-05,45
2022-06,77
2022-07,64
2022-08,34
2022-09,28
2022-10,64
2022-11,100
2022-12,62
2023-01,76
2023-02,51
2023-03,45
2023-04,43
2023-05,47
2023-06,51
2023-07,75
2023-08,62
2023-09,51
2023-10,59
2023-11,75
2023-12,70
2024-01,46
2024-02,78
2024-03,55
2024-04,84
2024-05,65
2024-06,75
2024-07,95
2024-08,26
2024-09,64
