カテゴリ: すべてのカテゴリ

月,サービス価格: (日本)
2012-12,90
2013-01,94
2013-02,93
2013-03,93
2013-04,89
2013-05,88
2013-06,88
2013-07,84
2013-08,79
2013-09,90
2013-10,88
2013-11,88
2013-12,94
2014-01,96
2014-02,83
2014-03,89
2014-04,87
2014-05,84
2014-06,93
2014-07,80
2014-08,81
2014-09,92
2014-10,82
2014-11,87
2014-12,75
2015-01,85
2015-02,80
2015-03,83
2015-04,75
2015-05,74
2015-06,77
2015-07,77
2015-08,67
2015-09,71
2015-10,74
2015-11,80
2015-12,70
2016-01,89
2016-02,100
2016-03,91
2016-04,83
2016-05,82
2016-06,76
2016-07,79
2016-08,68
2016-09,77
2016-10,74
2016-11,78
2016-12,78
2017-01,76
2017-02,69
2017-03,74
2017-04,63
2017-05,71
2017-06,64
2017-07,66
2017-08,63
2017-09,65
2017-10,73
2017-11,80
2017-12,72
2018-01,71
2018-02,72
2018-03,80
2018-04,57
2018-05,59
2018-06,67
2018-07,64
2018-08,65
2018-09,67
2018-10,61
2018-11,64
2018-12,59
2019-01,62
2019-02,60
2019-03,59
2019-04,59
2019-05,56
2019-06,53
2019-07,59
2019-08,48
2019-09,59
2019-10,56
2019-11,63
2019-12,57
2020-01,59
2020-02,58
2020-03,59
2020-04,55
2020-05,57
2020-06,66
2020-07,62
2020-08,59
2020-09,62
2020-10,60
2020-11,58
2020-12,54
2021-01,64
2021-02,61
2021-03,58
2021-04,60
2021-05,55
2021-06,56
2021-07,58
2021-08,48
2021-09,53
2021-10,57
2021-11,61
2021-12,58
2022-01,70
2022-02,67
2022-03,64
2022-04,65
2022-05,67
2022-06,63
2022-07,63
2022-08,66
2022-09,62
2022-10,68
2022-11,68
2022-12,65
2023-01,70
2023-02,71
2023-03,62
2023-04,67
2023-05,60
2023-06,69
2023-07,68
2023-08,70
2023-09,78
2023-10,72
2023-11,73
2023-12,69
2024-01,80
2024-02,76
2024-03,73
2024-04,74
2024-05,75
2024-06,70
2024-07,71
2024-08,63
2024-09,69
