カテゴリ: すべてのカテゴリ

月,消費者物価指数: (日本)
2012-12,25
2013-01,40
2013-02,36
2013-03,26
2013-04,32
2013-05,34
2013-06,29
2013-07,34
2013-08,27
2013-09,25
2013-10,31
2013-11,30
2013-12,28
2014-01,39
2014-02,34
2014-03,29
2014-04,37
2014-05,32
2014-06,39
2014-07,35
2014-08,26
2014-09,32
2014-10,35
2014-11,42
2014-12,35
2015-01,43
2015-02,38
2015-03,35
2015-04,34
2015-05,29
2015-06,32
2015-07,34
2015-08,25
2015-09,31
2015-10,34
2015-11,30
2015-12,27
2016-01,29
2016-02,26
2016-03,21
2016-04,21
2016-05,19
2016-06,18
2016-07,20
2016-08,20
2016-09,25
2016-10,21
2016-11,23
2016-12,19
2017-01,24
2017-02,21
2017-03,17
2017-04,19
2017-05,21
2017-06,20
2017-07,22
2017-08,21
2017-09,16
2017-10,22
2017-11,24
2017-12,21
2018-01,26
2018-02,31
2018-03,21
2018-04,21
2018-05,22
2018-06,19
2018-07,21
2018-08,17
2018-09,18
2018-10,21
2018-11,20
2018-12,16
2019-01,22
2019-02,19
2019-03,17
2019-04,15
2019-05,17
2019-06,18
2019-07,18
2019-08,14
2019-09,17
2019-10,17
2019-11,18
2019-12,17
2020-01,21
2020-02,18
2020-03,13
2020-04,14
2020-05,19
2020-06,22
2020-07,20
2020-08,19
2020-09,17
2020-10,16
2020-11,16
2020-12,17
2021-01,19
2021-02,20
2021-03,17
2021-04,17
2021-05,31
2021-06,35
2021-07,21
2021-08,22
2021-09,23
2021-10,27
2021-11,32
2021-12,33
2022-01,50
2022-02,48
2022-03,40
2022-04,51
2022-05,73
2022-06,78
2022-07,71
2022-08,57
2022-09,83
2022-10,96
2022-11,90
2022-12,66
2023-01,100
2023-02,71
2023-03,52
2023-04,55
2023-05,50
2023-06,53
2023-07,60
2023-08,46
2023-09,42
2023-10,53
2023-11,57
2023-12,44
2024-01,61
2024-02,67
2024-03,56
2024-04,62
2024-05,56
2024-06,50
2024-07,57
2024-08,57
2024-09,49
