カテゴリ: すべてのカテゴリ

月,コアCPI: (日本)
2012-12,0
2013-01,0
2013-02,23
2013-03,0
2013-04,25
2013-05,0
2013-06,21
2013-07,29
2013-08,0
2013-09,37
2013-10,27
2013-11,0
2013-12,0
2014-01,22
2014-02,0
2014-03,23
2014-04,30
2014-05,0
2014-06,23
2014-07,28
2014-08,0
2014-09,0
2014-10,23
2014-11,21
2014-12,29
2015-01,31
2015-02,0
2015-03,40
2015-04,21
2015-05,27
2015-06,0
2015-07,0
2015-08,21
2015-09,31
2015-10,24
2015-11,26
2015-12,25
2016-01,16
2016-02,31
2016-03,16
2016-04,22
2016-05,0
2016-06,15
2016-07,0
2016-08,0
2016-09,17
2016-10,0
2016-11,0
2016-12,14
2017-01,19
2017-02,0
2017-03,17
2017-04,18
2017-05,13
2017-06,13
2017-07,14
2017-08,13
2017-09,14
2017-10,17
2017-11,21
2017-12,25
2018-01,0
2018-02,27
2018-03,19
2018-04,0
2018-05,15
2018-06,0
2018-07,20
2018-08,13
2018-09,0
2018-10,34
2018-11,0
2018-12,0
2019-01,13
2019-02,13
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,10
2020-06,0
2020-07,18
2020-08,0
2020-09,13
2020-10,0
2020-11,13
2020-12,0
2021-01,0
2021-02,0
2021-03,17
2021-04,0
2021-05,17
2021-06,24
2021-07,15
2021-08,0
2021-09,0
2021-10,18
2021-11,0
2021-12,0
2022-01,34
2022-02,25
2022-03,19
2022-04,54
2022-05,53
2022-06,67
2022-07,52
2022-08,50
2022-09,100
2022-10,87
2022-11,71
2022-12,47
2023-01,53
2023-02,56
2023-03,33
2023-04,47
2023-05,38
2023-06,60
2023-07,36
2023-08,39
2023-09,56
2023-10,46
2023-11,37
2023-12,34
2024-01,46
2024-02,53
2024-03,49
2024-04,53
2024-05,36
2024-06,38
2024-07,34
2024-08,29
2024-09,40
