カテゴリ: すべてのカテゴリ

月,デフレーション: (日本)
2012-12,81
2013-01,100
2013-02,67
2013-03,69
2013-04,48
2013-05,36
2013-06,37
2013-07,59
2013-08,31
2013-09,48
2013-10,25
2013-11,29
2013-12,32
2014-01,51
2014-02,22
2014-03,32
2014-04,28
2014-05,18
2014-06,26
2014-07,23
2014-08,18
2014-09,33
2014-10,30
2014-11,46
2014-12,36
2015-01,26
2015-02,28
2015-03,0
2015-04,20
2015-05,25
2015-06,29
2015-07,35
2015-08,20
2015-09,27
2015-10,35
2015-11,25
2015-12,26
2016-01,38
2016-02,26
2016-03,24
2016-04,22
2016-05,18
2016-06,20
2016-07,25
2016-08,15
2016-09,30
2016-10,30
2016-11,32
2016-12,37
2017-01,46
2017-02,41
2017-03,22
2017-04,21
2017-05,21
2017-06,17
2017-07,26
2017-08,22
2017-09,24
2017-10,30
2017-11,22
2017-12,25
2018-01,37
2018-02,34
2018-03,20
2018-04,24
2018-05,16
2018-06,26
2018-07,20
2018-08,19
2018-09,16
2018-10,28
2018-11,23
2018-12,0
2019-01,28
2019-02,37
2019-03,22
2019-04,19
2019-05,37
2019-06,20
2019-07,28
2019-08,15
2019-09,20
2019-10,47
2019-11,40
2019-12,32
2020-01,39
2020-02,27
2020-03,25
2020-04,41
2020-05,49
2020-06,46
2020-07,38
2020-08,38
2020-09,29
2020-10,30
2020-11,35
2020-12,38
2021-01,41
2021-02,33
2021-03,34
2021-04,16
2021-05,26
2021-06,34
2021-07,20
2021-08,21
2021-09,35
2021-10,32
2021-11,47
2021-12,43
2022-01,67
2022-02,67
2022-03,35
2022-04,38
2022-05,46
2022-06,37
2022-07,44
2022-08,31
2022-09,30
2022-10,49
2022-11,44
2022-12,53
2023-01,71
2023-02,57
2023-03,24
2023-04,37
2023-05,27
2023-06,32
2023-07,36
2023-08,26
2023-09,37
2023-10,40
2023-11,52
2023-12,62
2024-01,63
2024-02,49
2024-03,49
2024-04,28
2024-05,23
2024-06,30
2024-07,38
2024-08,20
2024-09,28
