カテゴリ: すべてのカテゴリ

月,インフレーション: (日本)
2012-12,13
2013-01,16
2013-02,11
2013-03,9
2013-04,11
2013-05,12
2013-06,10
2013-07,53
2013-08,22
2013-09,46
2013-10,27
2013-11,23
2013-12,22
2014-01,27
2014-02,31
2014-03,50
2014-04,32
2014-05,28
2014-06,28
2014-07,27
2014-08,21
2014-09,26
2014-10,23
2014-11,20
2014-12,28
2015-01,22
2015-02,19
2015-03,23
2015-04,17
2015-05,17
2015-06,16
2015-07,19
2015-08,16
2015-09,13
2015-10,18
2015-11,16
2015-12,17
2016-01,18
2016-02,21
2016-03,14
2016-04,14
2016-05,15
2016-06,15
2016-07,15
2016-08,24
2016-09,18
2016-10,16
2016-11,18
2016-12,16
2017-01,17
2017-02,18
2017-03,13
2017-04,14
2017-05,16
2017-06,14
2017-07,14
2017-08,12
2017-09,12
2017-10,14
2017-11,14
2017-12,11
2018-01,14
2018-02,14
2018-03,12
2018-04,12
2018-05,16
2018-06,14
2018-07,12
2018-08,12
2018-09,12
2018-10,13
2018-11,12
2018-12,12
2019-01,14
2019-02,15
2019-03,12
2019-04,11
2019-05,13
2019-06,13
2019-07,13
2019-08,11
2019-09,12
2019-10,15
2019-11,14
2019-12,12
2020-01,14
2020-02,13
2020-03,14
2020-04,19
2020-05,18
2020-06,16
2020-07,15
2020-08,11
2020-09,12
2020-10,12
2020-11,11
2020-12,14
2021-01,15
2021-02,16
2021-03,15
2021-04,22
2021-05,23
2021-06,27
2021-07,22
2021-08,20
2021-09,19
2021-10,25
2021-11,26
2021-12,26
2022-01,33
2022-02,32
2022-03,41
2022-04,45
2022-05,39
2022-06,41
2022-07,34
2022-08,29
2022-09,33
2022-10,43
2022-11,39
2022-12,40
2023-01,56
2023-02,100
2023-03,81
2023-04,30
2023-05,28
2023-06,23
2023-07,22
2023-08,25
2023-09,21
2023-10,23
2023-11,26
2023-12,26
2024-01,23
2024-02,23
2024-03,20
2024-04,20
2024-05,25
2024-06,25
2024-07,26
2024-08,20
2024-09,33
