カテゴリ: すべてのカテゴリ

月,マネタリーベース: (日本)
2012-12,16
2013-01,19
2013-02,11
2013-03,12
2013-04,100
2013-05,27
2013-06,29
2013-07,25
2013-08,15
2013-09,16
2013-10,15
2013-11,14
2013-12,16
2014-01,19
2014-02,16
2014-03,13
2014-04,17
2014-05,14
2014-06,12
2014-07,15
2014-08,9
2014-09,11
2014-10,19
2014-11,29
2014-12,16
2015-01,19
2015-02,13
2015-03,8
2015-04,12
2015-05,26
2015-06,12
2015-07,16
2015-08,8
2015-09,10
2015-10,10
2015-11,10
2015-12,10
2016-01,16
2016-02,19
2016-03,8
2016-04,11
2016-05,10
2016-06,12
2016-07,21
2016-08,10
2016-09,14
2016-10,7
2016-11,7
2016-12,7
2017-01,10
2017-02,7
2017-03,5
2017-04,8
2017-05,6
2017-06,7
2017-07,11
2017-08,5
2017-09,5
2017-10,7
2017-11,8
2017-12,6
2018-01,11
2018-02,10
2018-03,4
2018-04,6
2018-05,6
2018-06,9
2018-07,9
2018-08,4
2018-09,4
2018-10,6
2018-11,6
2018-12,7
2019-01,9
2019-02,7
2019-03,4
2019-04,5
2019-05,7
2019-06,9
2019-07,10
2019-08,5
2019-09,5
2019-10,4
2019-11,4
2019-12,6
2020-01,10
2020-02,5
2020-03,7
2020-04,7
2020-05,11
2020-06,13
2020-07,11
2020-08,8
2020-09,7
2020-10,7
2020-11,7
2020-12,9
2021-01,11
2021-02,9
2021-03,6
2021-04,5
2021-05,7
2021-06,8
2021-07,10
2021-08,6
2021-09,5
2021-10,7
2021-11,8
2021-12,7
2022-01,14
2022-02,8
2022-03,10
2022-04,10
2022-05,15
2022-06,12
2022-07,11
2022-08,7
2022-09,13
2022-10,16
2022-11,12
2022-12,9
2023-01,17
2023-02,9
2023-03,6
2023-04,7
2023-05,6
2023-06,8
2023-07,11
2023-08,7
2023-09,8
2023-10,11
2023-11,12
2023-12,9
2024-01,10
2024-02,10
2024-03,8
2024-04,12
2024-05,11
2024-06,10
2024-07,13
2024-08,8
2024-09,7
