カテゴリ: すべてのカテゴリ

月,名目GDP: (日本)
2012-12,59
2013-01,65
2013-02,38
2013-03,30
2013-04,36
2013-05,58
2013-06,39
2013-07,48
2013-08,38
2013-09,36
2013-10,37
2013-11,34
2013-12,31
2014-01,40
2014-02,29
2014-03,24
2014-04,32
2014-05,33
2014-06,43
2014-07,41
2014-08,33
2014-09,26
2014-10,38
2014-11,61
2014-12,41
2015-01,44
2015-02,33
2015-03,27
2015-04,28
2015-05,43
2015-06,42
2015-07,44
2015-08,29
2015-09,31
2015-10,45
2015-11,50
2015-12,30
2016-01,50
2016-02,38
2016-03,24
2016-04,32
2016-05,37
2016-06,36
2016-07,42
2016-08,22
2016-09,24
2016-10,32
2016-11,34
2016-12,32
2017-01,38
2017-02,29
2017-03,21
2017-04,25
2017-05,37
2017-06,38
2017-07,41
2017-08,27
2017-09,25
2017-10,40
2017-11,48
2017-12,29
2018-01,42
2018-02,27
2018-03,20
2018-04,23
2018-05,30
2018-06,33
2018-07,32
2018-08,20
2018-09,27
2018-10,38
2018-11,30
2018-12,24
2019-01,42
2019-02,27
2019-03,15
2019-04,30
2019-05,35
2019-06,30
2019-07,40
2019-08,18
2019-09,22
2019-10,33
2019-11,33
2019-12,31
2020-01,36
2020-02,26
2020-03,18
2020-04,24
2020-05,46
2020-06,51
2020-07,42
2020-08,34
2020-09,30
2020-10,38
2020-11,37
2020-12,28
2021-01,40
2021-02,20
2021-03,18
2021-04,25
2021-05,36
2021-06,38
2021-07,34
2021-08,20
2021-09,30
2021-10,34
2021-11,38
2021-12,32
2022-01,41
2022-02,27
2022-03,23
2022-04,33
2022-05,46
2022-06,40
2022-07,36
2022-08,23
2022-09,20
2022-10,38
2022-11,38
2022-12,33
2023-01,47
2023-02,32
2023-03,17
2023-04,31
2023-05,41
2023-06,51
2023-07,41
2023-08,37
2023-09,30
2023-10,60
2023-11,56
2023-12,48
2024-01,66
2024-02,100
2024-03,37
2024-04,45
2024-05,58
2024-06,52
2024-07,52
2024-08,45
2024-09,32
