カテゴリ: すべてのカテゴリ

月,物価変動: (日本)
2012-12,45
2013-01,49
2013-02,44
2013-03,46
2013-04,39
2013-05,46
2013-06,26
2013-07,46
2013-08,36
2013-09,36
2013-10,21
2013-11,35
2013-12,42
2014-01,44
2014-02,31
2014-03,33
2014-04,29
2014-05,43
2014-06,49
2014-07,54
2014-08,36
2014-09,36
2014-10,49
2014-11,31
2014-12,40
2015-01,49
2015-02,44
2015-03,40
2015-04,44
2015-05,37
2015-06,22
2015-07,44
2015-08,19
2015-09,22
2015-10,34
2015-11,40
2015-12,47
2016-01,51
2016-02,45
2016-03,25
2016-04,24
2016-05,39
2016-06,23
2016-07,41
2016-08,22
2016-09,18
2016-10,27
2016-11,0
2016-12,19
2017-01,36
2017-02,39
2017-03,34
2017-04,27
2017-05,23
2017-06,24
2017-07,27
2017-08,28
2017-09,31
2017-10,34
2017-11,26
2017-12,24
2018-01,30
2018-02,26
2018-03,17
2018-04,25
2018-05,47
2018-06,34
2018-07,33
2018-08,21
2018-09,30
2018-10,34
2018-11,38
2018-12,29
2019-01,30
2019-02,36
2019-03,23
2019-04,21
2019-05,27
2019-06,37
2019-07,26
2019-08,19
2019-09,37
2019-10,20
2019-11,26
2019-12,24
2020-01,25
2020-02,27
2020-03,29
2020-04,33
2020-05,40
2020-06,49
2020-07,54
2020-08,27
2020-09,18
2020-10,31
2020-11,32
2020-12,41
2021-01,32
2021-02,26
2021-03,32
2021-04,33
2021-05,47
2021-06,37
2021-07,47
2021-08,20
2021-09,36
2021-10,44
2021-11,38
2021-12,33
2022-01,56
2022-02,51
2022-03,36
2022-04,44
2022-05,63
2022-06,65
2022-07,47
2022-08,35
2022-09,50
2022-10,51
2022-11,56
2022-12,63
2023-01,44
2023-02,46
2023-03,42
2023-04,42
2023-05,39
2023-06,47
2023-07,62
2023-08,34
2023-09,50
2023-10,54
2023-11,100
2023-12,40
2024-01,68
2024-02,91
2024-03,55
2024-04,81
2024-05,69
2024-06,77
2024-07,78
2024-08,52
2024-09,52
