カテゴリ: すべてのカテゴリ

月,生産者物価指数: (日本)
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,15
2013-06,0
2013-07,8
2013-08,10
2013-09,8
2013-10,0
2013-11,0
2013-12,0
2014-01,9
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,10
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,12
2014-12,0
2015-01,0
2015-02,0
2015-03,11
2015-04,10
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,10
2015-10,0
2015-11,12
2015-12,0
2016-01,9
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,6
2016-07,7
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,0
2017-04,0
2017-05,6
2017-06,0
2017-07,0
2017-08,0
2017-09,100
2017-10,6
2017-11,7
2017-12,7
2018-01,10
2018-02,7
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,6
2018-08,0
2018-09,0
2018-10,6
2018-11,0
2018-12,8
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,7
2019-10,5
2019-11,7
2019-12,0
2020-01,0
2020-02,0
2020-03,5
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,8
2020-09,0
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,14
2021-06,11
2021-07,10
2021-08,11
2021-09,6
2021-10,6
2021-11,6
2021-12,10
2022-01,17
2022-02,16
2022-03,6
2022-04,7
2022-05,12
2022-06,16
2022-07,16
2022-08,21
2022-09,22
2022-10,17
2022-11,28
2022-12,27
2023-01,15
2023-02,18
2023-03,9
2023-04,14
2023-05,9
2023-06,10
2023-07,13
2023-08,15
2023-09,9
2023-10,15
2023-11,12
2023-12,12
2024-01,20
2024-02,11
2024-03,13
2024-04,16
2024-05,22
2024-06,14
2024-07,12
2024-08,17
2024-09,8
