カテゴリ: すべてのカテゴリ

月,実質GDP: (日本)
2012-12,48
2013-01,70
2013-02,39
2013-03,29
2013-04,53
2013-05,64
2013-06,53
2013-07,58
2013-08,38
2013-09,42
2013-10,47
2013-11,51
2013-12,35
2014-01,56
2014-02,38
2014-03,29
2014-04,34
2014-05,40
2014-06,48
2014-07,50
2014-08,43
2014-09,44
2014-10,56
2014-11,100
2014-12,65
2015-01,53
2015-02,51
2015-03,34
2015-04,37
2015-05,45
2015-06,56
2015-07,51
2015-08,39
2015-09,33
2015-10,52
2015-11,51
2015-12,45
2016-01,55
2016-02,42
2016-03,25
2016-04,37
2016-05,46
2016-06,43
2016-07,54
2016-08,28
2016-09,30
2016-10,35
2016-11,41
2016-12,34
2017-01,55
2017-02,31
2017-03,20
2017-04,32
2017-05,46
2017-06,39
2017-07,51
2017-08,25
2017-09,28
2017-10,44
2017-11,40
2017-12,39
2018-01,50
2018-02,36
2018-03,22
2018-04,30
2018-05,34
2018-06,34
2018-07,47
2018-08,28
2018-09,26
2018-10,33
2018-11,38
2018-12,31
2019-01,50
2019-02,36
2019-03,19
2019-04,32
2019-05,35
2019-06,35
2019-07,50
2019-08,25
2019-09,29
2019-10,42
2019-11,38
2019-12,34
2020-01,51
2020-02,37
2020-03,22
2020-04,30
2020-05,65
2020-06,67
2020-07,61
2020-08,62
2020-09,41
2020-10,55
2020-11,42
2020-12,48
2021-01,56
2021-02,35
2021-03,21
2021-04,32
2021-05,53
2021-06,50
2021-07,50
2021-08,28
2021-09,30
2021-10,42
2021-11,61
2021-12,37
2022-01,65
2022-02,40
2022-03,28
2022-04,47
2022-05,62
2022-06,66
2022-07,55
2022-08,37
2022-09,33
2022-10,51
2022-11,53
2022-12,63
2023-01,72
2023-02,42
2023-03,19
2023-04,41
2023-05,61
2023-06,59
2023-07,61
2023-08,49
2023-09,42
2023-10,71
2023-11,78
2023-12,67
2024-01,86
2024-02,99
2024-03,46
2024-04,59
2024-05,78
2024-06,70
2024-07,75
2024-08,50
2024-09,43
