カテゴリ: すべてのカテゴリ

月,エネルギー価格: (日本)
2012-12,82
2013-01,79
2013-02,73
2013-03,69
2013-04,65
2013-05,62
2013-06,60
2013-07,62
2013-08,48
2013-09,48
2013-10,62
2013-11,68
2013-12,58
2014-01,69
2014-02,73
2014-03,63
2014-04,56
2014-05,63
2014-06,72
2014-07,74
2014-08,49
2014-09,65
2014-10,100
2014-11,68
2014-12,71
2015-01,81
2015-02,77
2015-03,62
2015-04,53
2015-05,51
2015-06,55
2015-07,54
2015-08,40
2015-09,40
2015-10,39
2015-11,40
2015-12,42
2016-01,55
2016-02,51
2016-03,42
2016-04,36
2016-05,43
2016-06,50
2016-07,34
2016-08,29
2016-09,31
2016-10,32
2016-11,33
2016-12,43
2017-01,37
2017-02,57
2017-03,41
2017-04,42
2017-05,39
2017-06,39
2017-07,44
2017-08,43
2017-09,39
2017-10,35
2017-11,54
2017-12,42
2018-01,37
2018-02,47
2018-03,34
2018-04,39
2018-05,42
2018-06,31
2018-07,36
2018-08,36
2018-09,37
2018-10,46
2018-11,47
2018-12,31
2019-01,43
2019-02,36
2019-03,28
2019-04,34
2019-05,31
2019-06,36
2019-07,26
2019-08,24
2019-09,29
2019-10,32
2019-11,30
2019-12,27
2020-01,32
2020-02,28
2020-03,32
2020-04,33
2020-05,36
2020-06,38
2020-07,32
2020-08,27
2020-09,29
2020-10,29
2020-11,31
2020-12,27
2021-01,39
2021-02,36
2021-03,32
2021-04,36
2021-05,35
2021-06,38
2021-07,32
2021-08,29
2021-09,38
2021-10,47
2021-11,49
2021-12,45
2022-01,55
2022-02,61
2022-03,62
2022-04,58
2022-05,54
2022-06,61
2022-07,47
2022-08,49
2022-09,62
2022-10,66
2022-11,68
2022-12,72
2023-01,83
2023-02,86
2023-03,61
2023-04,66
2023-05,59
2023-06,65
2023-07,58
2023-08,77
2023-09,79
2023-10,71
2023-11,68
2023-12,60
2024-01,63
2024-02,70
2024-03,64
2024-04,64
2024-05,71
2024-06,71
2024-07,61
2024-08,45
2024-09,61
