カテゴリ: すべてのカテゴリ

月,為替レート: (日本)
2012-12,29
2013-01,39
2013-02,36
2013-03,28
2013-04,33
2013-05,32
2013-06,29
2013-07,26
2013-08,21
2013-09,23
2013-10,22
2013-11,23
2013-12,25
2014-01,28
2014-02,22
2014-03,24
2014-04,20
2014-05,19
2014-06,19
2014-07,19
2014-08,18
2014-09,26
2014-10,22
2014-11,32
2014-12,29
2015-01,25
2015-02,23
2015-03,22
2015-04,20
2015-05,20
2015-06,26
2015-07,24
2015-08,21
2015-09,22
2015-10,20
2015-11,17
2015-12,19
2016-01,24
2016-02,43
2016-03,27
2016-04,25
2016-05,20
2016-06,44
2016-07,29
2016-08,21
2016-09,19
2016-10,19
2016-11,29
2016-12,35
2017-01,41
2017-02,40
2017-03,31
2017-04,25
2017-05,29
2017-06,28
2017-07,29
2017-08,32
2017-09,29
2017-10,21
2017-11,24
2017-12,21
2018-01,33
2018-02,45
2018-03,41
2018-04,32
2018-05,35
2018-06,33
2018-07,25
2018-08,23
2018-09,22
2018-10,27
2018-11,25
2018-12,23
2019-01,26
2019-02,24
2019-03,25
2019-04,27
2019-05,40
2019-06,38
2019-07,33
2019-08,56
2019-09,44
2019-10,35
2019-11,31
2019-12,33
2020-01,38
2020-02,41
2020-03,100
2020-04,40
2020-05,31
2020-06,36
2020-07,31
2020-08,31
2020-09,27
2020-10,23
2020-11,26
2020-12,25
2021-01,26
2021-02,30
2021-03,40
2021-04,32
2021-05,23
2021-06,24
2021-07,24
2021-08,18
2021-09,23
2021-10,30
2021-11,31
2021-12,27
2022-01,25
2022-02,26
2022-03,46
2022-04,52
2022-05,44
2022-06,57
2022-07,43
2022-08,43
2022-09,58
2022-10,56
2022-11,55
2022-12,45
2023-01,41
2023-02,39
2023-03,39
2023-04,33
2023-05,35
2023-06,42
2023-07,44
2023-08,42
2023-09,40
2023-10,38
2023-11,42
2023-12,44
2024-01,36
2024-02,31
2024-03,34
2024-04,39
2024-05,38
2024-06,31
2024-07,41
2024-08,46
2024-09,38
