カテゴリ: すべてのカテゴリ

月,輸入価格: (日本)
2012-12,95
2013-01,98
2013-02,100
2013-03,89
2013-04,93
2013-05,87
2013-06,79
2013-07,76
2013-08,72
2013-09,77
2013-10,75
2013-11,83
2013-12,74
2014-01,79
2014-02,69
2014-03,69
2014-04,79
2014-05,78
2014-06,77
2014-07,67
2014-08,62
2014-09,75
2014-10,64
2014-11,71
2014-12,65
2015-01,64
2015-02,80
2015-03,55
2015-04,55
2015-05,58
2015-06,54
2015-07,64
2015-08,49
2015-09,49
2015-10,64
2015-11,56
2015-12,52
2016-01,65
2016-02,72
2016-03,56
2016-04,65
2016-05,57
2016-06,63
2016-07,62
2016-08,54
2016-09,64
2016-10,59
2016-11,53
2016-12,51
2017-01,60
2017-02,52
2017-03,51
2017-04,50
2017-05,48
2017-06,48
2017-07,46
2017-08,43
2017-09,45
2017-10,49
2017-11,50
2017-12,47
2018-01,52
2018-02,54
2018-03,47
2018-04,43
2018-05,43
2018-06,44
2018-07,42
2018-08,42
2018-09,41
2018-10,46
2018-11,48
2018-12,37
2019-01,44
2019-02,45
2019-03,42
2019-04,40
2019-05,37
2019-06,42
2019-07,41
2019-08,36
2019-09,42
2019-10,35
2019-11,42
2019-12,44
2020-01,38
2020-02,42
2020-03,40
2020-04,39
2020-05,43
2020-06,43
2020-07,42
2020-08,41
2020-09,47
2020-10,42
2020-11,41
2020-12,37
2021-01,35
2021-02,42
2021-03,33
2021-04,36
2021-05,42
2021-06,42
2021-07,39
2021-08,36
2021-09,40
2021-10,42
2021-11,46
2021-12,43
2022-01,57
2022-02,50
2022-03,62
2022-04,52
2022-05,52
2022-06,57
2022-07,53
2022-08,48
2022-09,53
2022-10,52
2022-11,48
2022-12,42
2023-01,54
2023-02,50
2023-03,42
2023-04,41
2023-05,42
2023-06,41
2023-07,45
2023-08,48
2023-09,46
2023-10,52
2023-11,49
2023-12,44
2024-01,40
2024-02,45
2024-03,37
2024-04,42
2024-05,47
2024-06,45
2024-07,43
2024-08,37
2024-09,43
