カテゴリ: すべてのカテゴリ

月,石油価格: (日本)
2012-12,85
2013-01,70
2013-02,49
2013-03,36
2013-04,32
2013-05,27
2013-06,23
2013-07,27
2013-08,31
2013-09,28
2013-10,45
2013-11,73
2013-12,63
2014-01,53
2014-02,42
2014-03,38
2014-04,31
2014-05,25
2014-06,31
2014-07,33
2014-08,24
2014-09,36
2014-10,54
2014-11,73
2014-12,100
2015-01,88
2015-02,80
2015-03,38
2015-04,32
2015-05,31
2015-06,29
2015-07,31
2015-08,30
2015-09,29
2015-10,44
2015-11,57
2015-12,59
2016-01,80
2016-02,64
2016-03,41
2016-04,31
2016-05,29
2016-06,27
2016-07,22
2016-08,20
2016-09,24
2016-10,38
2016-11,52
2016-12,54
2017-01,45
2017-02,33
2017-03,28
2017-04,22
2017-05,22
2017-06,20
2017-07,19
2017-08,22
2017-09,26
2017-10,39
2017-11,53
2017-12,48
2018-01,54
2018-02,40
2018-03,26
2018-04,23
2018-05,31
2018-06,25
2018-07,21
2018-08,23
2018-09,27
2018-10,44
2018-11,52
2018-12,48
2019-01,39
2019-02,31
2019-03,25
2019-04,22
2019-05,22
2019-06,23
2019-07,17
2019-08,20
2019-09,35
2019-10,29
2019-11,39
2019-12,39
2020-01,45
2020-02,30
2020-03,61
2020-04,80
2020-05,42
2020-06,33
2020-07,22
2020-08,23
2020-09,25
2020-10,42
2020-11,46
2020-12,53
2021-01,47
2021-02,37
2021-03,34
2021-04,26
2021-05,24
2021-06,24
2021-07,27
2021-08,21
2021-09,27
2021-10,60
2021-11,81
2021-12,63
2022-01,61
2022-02,66
2022-03,72
2022-04,42
2022-05,32
2022-06,38
2022-07,34
2022-08,31
2022-09,37
2022-10,53
2022-11,48
2022-12,64
2023-01,51
2023-02,41
2023-03,28
2023-04,26
2023-05,22
2023-06,25
2023-07,29
2023-08,45
2023-09,40
2023-10,51
2023-11,57
2023-12,46
2024-01,40
2024-02,31
2024-03,27
2024-04,29
2024-05,22
2024-06,21
2024-07,24
2024-08,21
2024-09,23
