カテゴリ: すべてのカテゴリ

月,原材料価格: (日本)
2012-12,0
2013-01,30
2013-02,44
2013-03,28
2013-04,34
2013-05,25
2013-06,26
2013-07,33
2013-08,0
2013-09,34
2013-10,0
2013-11,28
2013-12,0
2014-01,0
2014-02,28
2014-03,50
2014-04,28
2014-05,24
2014-06,0
2014-07,0
2014-08,0
2014-09,33
2014-10,44
2014-11,33
2014-12,35
2015-01,39
2015-02,29
2015-03,0
2015-04,0
2015-05,0
2015-06,36
2015-07,34
2015-08,0
2015-09,22
2015-10,24
2015-11,0
2015-12,24
2016-01,0
2016-02,33
2016-03,34
2016-04,0
2016-05,30
2016-06,26
2016-07,25
2016-08,23
2016-09,19
2016-10,28
2016-11,28
2016-12,0
2017-01,19
2017-02,0
2017-03,18
2017-04,27
2017-05,29
2017-06,32
2017-07,19
2017-08,0
2017-09,18
2017-10,0
2017-11,38
2017-12,42
2018-01,25
2018-02,21
2018-03,19
2018-04,33
2018-05,28
2018-06,19
2018-07,31
2018-08,24
2018-09,22
2018-10,0
2018-11,32
2018-12,18
2019-01,29
2019-02,19
2019-03,23
2019-04,22
2019-05,25
2019-06,20
2019-07,27
2019-08,23
2019-09,0
2019-10,24
2019-11,0
2019-12,25
2020-01,23
2020-02,23
2020-03,19
2020-04,24
2020-05,18
2020-06,36
2020-07,18
2020-08,18
2020-09,29
2020-10,22
2020-11,18
2020-12,26
2021-01,0
2021-02,21
2021-03,24
2021-04,32
2021-05,26
2021-06,28
2021-07,52
2021-08,31
2021-09,33
2021-10,44
2021-11,48
2021-12,60
2022-01,74
2022-02,78
2022-03,66
2022-04,82
2022-05,81
2022-06,92
2022-07,100
2022-08,86
2022-09,95
2022-10,85
2022-11,70
2022-12,70
2023-01,71
2023-02,82
2023-03,63
2023-04,57
2023-05,73
2023-06,82
2023-07,65
2023-08,53
2023-09,55
2023-10,76
2023-11,76
2023-12,55
2024-01,52
2024-02,66
2024-03,48
2024-04,77
2024-05,55
2024-06,47
2024-07,59
2024-08,32
2024-09,47
