カテゴリ: すべてのカテゴリ

月,賃金動向: (日本)
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,100
2015-06,83
2015-07,66
2015-08,77
2015-09,0
2015-10,0
2015-11,58
2015-12,0
2016-01,0
2016-02,0
2016-03,70
2016-04,60
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,0
2016-12,0
2017-01,0
2017-02,0
2017-03,52
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,0
2017-09,0
2017-10,0
2017-11,56
2017-12,0
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,0
2019-04,0
2019-05,0
2019-06,49
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,0
2019-12,64
2020-01,0
2020-02,0
2020-03,0
2020-04,0
2020-05,51
2020-06,0
2020-07,41
2020-08,0
2020-09,65
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,47
2021-06,0
2021-07,0
2021-08,0
2021-09,0
2021-10,0
2021-11,0
2021-12,70
2022-01,0
2022-02,68
2022-03,0
2022-04,0
2022-05,0
2022-06,45
2022-07,0
2022-08,52
2022-09,0
2022-10,0
2022-11,0
2022-12,0
2023-01,56
2023-02,58
2023-03,0
2023-04,60
2023-05,40
2023-06,43
2023-07,0
2023-08,0
2023-09,0
2023-10,54
2023-11,61
2023-12,40
2024-01,0
2024-02,0
2024-03,61
2024-04,0
2024-05,58
2024-06,54
2024-07,51
2024-08,50
2024-09,94
