カテゴリ: すべてのカテゴリ

月,円高: (日本)
2012-12,27
2013-01,42
2013-02,37
2013-03,25
2013-04,31
2013-05,31
2013-06,35
2013-07,20
2013-08,18
2013-09,21
2013-10,17
2013-11,17
2013-12,18
2014-01,23
2014-02,18
2014-03,16
2014-04,16
2014-05,16
2014-06,15
2014-07,16
2014-08,14
2014-09,24
2014-10,23
2014-11,30
2014-12,29
2015-01,24
2015-02,18
2015-03,17
2015-04,17
2015-05,20
2015-06,26
2015-07,21
2015-08,24
2015-09,18
2015-10,16
2015-11,17
2015-12,19
2016-01,31
2016-02,65
2016-03,23
2016-04,39
2016-05,35
2016-06,100
2016-07,34
2016-08,29
2016-09,25
2016-10,20
2016-11,56
2016-12,24
2017-01,30
2017-02,28
2017-03,22
2017-04,23
2017-05,19
2017-06,18
2017-07,17
2017-08,21
2017-09,20
2017-10,17
2017-11,20
2017-12,17
2018-01,27
2018-02,32
2018-03,22
2018-04,17
2018-05,17
2018-06,17
2018-07,16
2018-08,16
2018-09,16
2018-10,19
2018-11,16
2018-12,20
2019-01,29
2019-02,19
2019-03,17
2019-04,15
2019-05,20
2019-06,24
2019-07,19
2019-08,31
2019-09,20
2019-10,17
2019-11,16
2019-12,17
2020-01,23
2020-02,22
2020-03,69
2020-04,21
2020-05,18
2020-06,17
2020-07,21
2020-08,20
2020-09,20
2020-10,18
2020-11,24
2020-12,20
2021-01,21
2021-02,21
2021-03,19
2021-04,18
2021-05,16
2021-06,17
2021-07,19
2021-08,17
2021-09,18
2021-10,20
2021-11,26
2021-12,19
2022-01,26
2022-02,23
2022-03,35
2022-04,41
2022-05,28
2022-06,38
2022-07,39
2022-08,26
2022-09,45
2022-10,51
2022-11,56
2022-12,47
2023-01,46
2023-02,26
2023-03,24
2023-04,21
2023-05,24
2023-06,25
2023-07,31
2023-08,22
2023-09,28
2023-10,30
2023-11,45
2023-12,64
2024-01,37
2024-02,33
2024-03,48
2024-04,47
2024-05,40
2024-06,31
2024-07,78
2024-08,91
2024-09,69
