カテゴリ: すべてのカテゴリ

月,円安: (日本)
2012-12,17
2013-01,30
2013-02,35
2013-03,19
2013-04,32
2013-05,34
2013-06,15
2013-07,13
2013-08,9
2013-09,11
2013-10,9
2013-11,11
2013-12,14
2014-01,13
2014-02,10
2014-03,9
2014-04,9
2014-05,8
2014-06,8
2014-07,7
2014-08,8
2014-09,26
2014-10,18
2014-11,38
2014-12,36
2015-01,18
2015-02,15
2015-03,11
2015-04,11
2015-05,16
2015-06,17
2015-07,12
2015-08,11
2015-09,10
2015-10,9
2015-11,9
2015-12,10
2016-01,9
2016-02,13
2016-03,6
2016-04,7
2016-05,7
2016-06,13
2016-07,7
2016-08,5
2016-09,5
2016-10,5
2016-11,17
2016-12,10
2017-01,10
2017-02,8
2017-03,5
2017-04,5
2017-05,5
2017-06,5
2017-07,5
2017-08,4
2017-09,5
2017-10,5
2017-11,5
2017-12,4
2018-01,6
2018-02,6
2018-03,4
2018-04,4
2018-05,5
2018-06,4
2018-07,5
2018-08,4
2018-09,5
2018-10,5
2018-11,4
2018-12,4
2019-01,6
2019-02,5
2019-03,4
2019-04,3
2019-05,4
2019-06,4
2019-07,4
2019-08,7
2019-09,5
2019-10,4
2019-11,4
2019-12,4
2020-01,6
2020-02,8
2020-03,12
2020-04,5
2020-05,4
2020-06,5
2020-07,4
2020-08,4
2020-09,4
2020-10,3
2020-11,5
2020-12,4
2021-01,5
2021-02,5
2021-03,7
2021-04,5
2021-05,4
2021-06,5
2021-07,4
2021-08,3
2021-09,5
2021-10,11
2021-11,12
2021-12,6
2022-01,10
2022-02,8
2022-03,41
2022-04,81
2022-05,35
2022-06,69
2022-07,42
2022-08,21
2022-09,91
2022-10,100
2022-11,44
2022-12,23
2023-01,21
2023-02,15
2023-03,9
2023-04,9
2023-05,15
2023-06,19
2023-07,16
2023-08,17
2023-09,23
2023-10,27
2023-11,28
2023-12,19
2024-01,18
2024-02,20
2024-03,23
2024-04,69
2024-05,41
2024-06,33
2024-07,32
2024-08,21
2024-09,16
