カテゴリ: すべてのカテゴリ

月,国際収支: (日本)
2012-12,64
2013-01,90
2013-02,54
2013-03,38
2013-04,57
2013-05,52
2013-06,55
2013-07,80
2013-08,42
2013-09,36
2013-10,54
2013-11,59
2013-12,51
2014-01,100
2014-02,70
2014-03,62
2014-04,59
2014-05,67
2014-06,71
2014-07,77
2014-08,43
2014-09,39
2014-10,58
2014-11,60
2014-12,52
2015-01,71
2015-02,58
2015-03,40
2015-04,46
2015-05,57
2015-06,60
2015-07,55
2015-08,38
2015-09,39
2015-10,48
2015-11,52
2015-12,45
2016-01,53
2016-02,43
2016-03,29
2016-04,33
2016-05,43
2016-06,41
2016-07,52
2016-08,37
2016-09,32
2016-10,38
2016-11,44
2016-12,39
2017-01,54
2017-02,43
2017-03,24
2017-04,33
2017-05,46
2017-06,37
2017-07,43
2017-08,33
2017-09,24
2017-10,37
2017-11,45
2017-12,36
2018-01,60
2018-02,41
2018-03,35
2018-04,32
2018-05,40
2018-06,42
2018-07,45
2018-08,32
2018-09,30
2018-10,35
2018-11,43
2018-12,40
2019-01,43
2019-02,28
2019-03,25
2019-04,29
2019-05,38
2019-06,37
2019-07,39
2019-08,25
2019-09,28
2019-10,31
2019-11,33
2019-12,38
2020-01,34
2020-02,33
2020-03,24
2020-04,24
2020-05,35
2020-06,42
2020-07,52
2020-08,33
2020-09,32
2020-10,39
2020-11,39
2020-12,36
2021-01,30
2021-02,34
2021-03,24
2021-04,22
2021-05,29
2021-06,44
2021-07,38
2021-08,25
2021-09,22
2021-10,27
2021-11,42
2021-12,37
2022-01,36
2022-02,32
2022-03,28
2022-04,33
2022-05,33
2022-06,43
2022-07,41
2022-08,24
2022-09,28
2022-10,45
2022-11,41
2022-12,41
2023-01,42
2023-02,35
2023-03,25
2023-04,25
2023-05,31
2023-06,35
2023-07,41
2023-08,25
2023-09,25
2023-10,43
2023-11,53
2023-12,39
2024-01,39
2024-02,39
2024-03,32
2024-04,37
2024-05,54
2024-06,45
2024-07,56
2024-08,29
2024-09,38
