カテゴリ: すべてのカテゴリ

月,国際競争力: (日本)
2012-12,42
2013-01,38
2013-02,48
2013-03,35
2013-04,40
2013-05,53
2013-06,48
2013-07,51
2013-08,28
2013-09,100
2013-10,50
2013-11,45
2013-12,65
2014-01,42
2014-02,32
2014-03,37
2014-04,34
2014-05,75
2014-06,38
2014-07,38
2014-08,28
2014-09,88
2014-10,48
2014-11,33
2014-12,32
2015-01,28
2015-02,18
2015-03,16
2015-04,28
2015-05,40
2015-06,38
2015-07,44
2015-08,16
2015-09,29
2015-10,57
2015-11,27
2015-12,34
2016-01,34
2016-02,19
2016-03,24
2016-04,20
2016-05,29
2016-06,36
2016-07,29
2016-08,17
2016-09,43
2016-10,38
2016-11,25
2016-12,26
2017-01,28
2017-02,16
2017-03,22
2017-04,23
2017-05,25
2017-06,28
2017-07,28
2017-08,22
2017-09,38
2017-10,31
2017-11,28
2017-12,27
2018-01,17
2018-02,15
2018-03,18
2018-04,17
2018-05,28
2018-06,30
2018-07,22
2018-08,15
2018-09,20
2018-10,38
2018-11,24
2018-12,13
2019-01,20
2019-02,22
2019-03,23
2019-04,24
2019-05,33
2019-06,32
2019-07,25
2019-08,16
2019-09,24
2019-10,37
2019-11,17
2019-12,26
2020-01,25
2020-02,13
2020-03,14
2020-04,23
2020-05,30
2020-06,35
2020-07,29
2020-08,25
2020-09,25
2020-10,26
2020-11,27
2020-12,25
2021-01,23
2021-02,16
2021-03,25
2021-04,20
2021-05,21
2021-06,25
2021-07,24
2021-08,22
2021-09,24
2021-10,30
2021-11,18
2021-12,28
2022-01,25
2022-02,27
2022-03,19
2022-04,23
2022-05,20
2022-06,33
2022-07,28
2022-08,21
2022-09,22
2022-10,30
2022-11,22
2022-12,20
2023-01,29
2023-02,28
2023-03,18
2023-04,25
2023-05,25
2023-06,41
2023-07,40
2023-08,21
2023-09,31
2023-10,34
2023-11,29
2023-12,31
2024-01,30
2024-02,29
2024-03,19
2024-04,20
2024-05,25
2024-06,47
2024-07,38
2024-08,25
2024-09,24
