カテゴリ: すべてのカテゴリ

月,世界経済: (日本)
2012-12,56
2013-01,67
2013-02,50
2013-03,38
2013-04,47
2013-05,48
2013-06,49
2013-07,59
2013-08,42
2013-09,47
2013-10,47
2013-11,47
2013-12,50
2014-01,69
2014-02,55
2014-03,43
2014-04,46
2014-05,53
2014-06,50
2014-07,51
2014-08,38
2014-09,55
2014-10,61
2014-11,60
2014-12,50
2015-01,66
2015-02,51
2015-03,43
2015-04,57
2015-05,59
2015-06,62
2015-07,64
2015-08,60
2015-09,55
2015-10,60
2015-11,56
2015-12,54
2016-01,75
2016-02,70
2016-03,54
2016-04,51
2016-05,52
2016-06,67
2016-07,53
2016-08,38
2016-09,48
2016-10,51
2016-11,57
2016-12,48
2017-01,67
2017-02,52
2017-03,44
2017-04,43
2017-05,47
2017-06,45
2017-07,47
2017-08,42
2017-09,49
2017-10,51
2017-11,54
2017-12,50
2018-01,59
2018-02,52
2018-03,37
2018-04,38
2018-05,44
2018-06,42
2018-07,50
2018-08,42
2018-09,42
2018-10,52
2018-11,50
2018-12,50
2019-01,62
2019-02,50
2019-03,42
2019-04,45
2019-05,49
2019-06,49
2019-07,55
2019-08,53
2019-09,49
2019-10,54
2019-11,48
2019-12,48
2020-01,62
2020-02,59
2020-03,95
2020-04,100
2020-05,93
2020-06,79
2020-07,70
2020-08,61
2020-09,48
2020-10,58
2020-11,55
2020-12,52
2021-01,65
2021-02,60
2021-03,49
2021-04,63
2021-05,62
2021-06,68
2021-07,61
2021-08,54
2021-09,60
2021-10,63
2021-11,60
2021-12,59
2022-01,87
2022-02,77
2022-03,71
2022-04,65
2022-05,65
2022-06,70
2022-07,65
2022-08,55
2022-09,58
2022-10,71
2022-11,70
2022-12,62
2023-01,75
2023-02,68
2023-03,50
2023-04,57
2023-05,61
2023-06,67
2023-07,76
2023-08,60
2023-09,58
2023-10,69
2023-11,71
2023-12,65
2024-01,82
2024-02,70
2024-03,50
2024-04,56
2024-05,66
2024-06,69
2024-07,69
2024-08,55
2024-09,52
