カテゴリ: すべてのカテゴリ

月,貿易収支: (日本)
2012-12,94
2013-01,95
2013-02,93
2013-03,53
2013-04,64
2013-05,65
2013-06,61
2013-07,71
2013-08,65
2013-09,38
2013-10,58
2013-11,66
2013-12,61
2014-01,100
2014-02,79
2014-03,62
2014-04,61
2014-05,66
2014-06,57
2014-07,66
2014-08,53
2014-09,44
2014-10,58
2014-11,64
2014-12,47
2015-01,74
2015-02,56
2015-03,35
2015-04,57
2015-05,59
2015-06,55
2015-07,63
2015-08,43
2015-09,46
2015-10,55
2015-11,44
2015-12,39
2016-01,51
2016-02,45
2016-03,28
2016-04,46
2016-05,44
2016-06,39
2016-07,50
2016-08,31
2016-09,25
2016-10,32
2016-11,30
2016-12,30
2017-01,67
2017-02,55
2017-03,34
2017-04,38
2017-05,35
2017-06,31
2017-07,31
2017-08,25
2017-09,21
2017-10,28
2017-11,33
2017-12,30
2018-01,35
2018-02,30
2018-03,24
2018-04,36
2018-05,31
2018-06,38
2018-07,40
2018-08,23
2018-09,29
2018-10,34
2018-11,38
2018-12,28
2019-01,54
2019-02,42
2019-03,31
2019-04,32
2019-05,41
2019-06,32
2019-07,39
2019-08,43
2019-09,25
2019-10,29
2019-11,26
2019-12,27
2020-01,34
2020-02,24
2020-03,19
2020-04,19
2020-05,28
2020-06,37
2020-07,40
2020-08,29
2020-09,20
2020-10,27
2020-11,24
2020-12,23
2021-01,39
2021-02,31
2021-03,21
2021-04,26
2021-05,24
2021-06,32
2021-07,27
2021-08,16
2021-09,19
2021-10,30
2021-11,28
2021-12,27
2022-01,38
2022-02,38
2022-03,41
2022-04,50
2022-05,40
2022-06,46
2022-07,50
2022-08,28
2022-09,49
2022-10,56
2022-11,42
2022-12,39
2023-01,53
2023-02,45
2023-03,24
2023-04,36
2023-05,30
2023-06,41
2023-07,41
2023-08,31
2023-09,32
2023-10,43
2023-11,51
2023-12,39
2024-01,39
2024-02,44
2024-03,25
2024-04,46
2024-05,45
2024-06,44
2024-07,46
2024-08,38
2024-09,31
