カテゴリ: すべてのカテゴリ

月,日本銀行: (日本)
2012-12,54
2013-01,59
2013-02,57
2013-03,58
2013-04,62
2013-05,54
2013-06,52
2013-07,45
2013-08,44
2013-09,39
2013-10,41
2013-11,42
2013-12,51
2014-01,47
2014-02,45
2014-03,52
2014-04,56
2014-05,48
2014-06,50
2014-07,58
2014-08,44
2014-09,45
2014-10,46
2014-11,48
2014-12,46
2015-01,47
2015-02,44
2015-03,51
2015-04,54
2015-05,45
2015-06,55
2015-07,47
2015-08,44
2015-09,42
2015-10,53
2015-11,71
2015-12,54
2016-01,54
2016-02,61
2016-03,55
2016-04,50
2016-05,48
2016-06,58
2016-07,42
2016-08,39
2016-09,39
2016-10,41
2016-11,48
2016-12,44
2017-01,44
2017-02,45
2017-03,53
2017-04,48
2017-05,51
2017-06,52
2017-07,39
2017-08,36
2017-09,42
2017-10,47
2017-11,49
2017-12,46
2018-01,52
2018-02,48
2018-03,45
2018-04,51
2018-05,50
2018-06,49
2018-07,43
2018-08,43
2018-09,43
2018-10,46
2018-11,44
2018-12,44
2019-01,43
2019-02,46
2019-03,47
2019-04,57
2019-05,47
2019-06,52
2019-07,45
2019-08,41
2019-09,47
2019-10,45
2019-11,48
2019-12,48
2020-01,47
2020-02,49
2020-03,61
2020-04,51
2020-05,50
2020-06,56
2020-07,49
2020-08,51
2020-09,52
2020-10,45
2020-11,46
2020-12,51
2021-01,51
2021-02,55
2021-03,71
2021-04,53
2021-05,53
2021-06,57
2021-07,51
2021-08,46
2021-09,56
2021-10,57
2021-11,59
2021-12,58
2022-01,62
2022-02,68
2022-03,70
2022-04,65
2022-05,63
2022-06,69
2022-07,58
2022-08,54
2022-09,57
2022-10,71
2022-11,60
2022-12,63
2023-01,67
2023-02,76
2023-03,100
2023-04,83
2023-05,79
2023-06,90
2023-07,80
2023-08,77
2023-09,86
2023-10,78
2023-11,83
2023-12,77
2024-01,84
2024-02,85
2024-03,89
2024-04,82
2024-05,79
2024-06,74
2024-07,83
2024-08,71
2024-09,67
