カテゴリ: すべてのカテゴリ

月,景気動向指数: (日本)
2012-12,52
2013-01,51
2013-02,36
2013-03,47
2013-04,45
2013-05,62
2013-06,44
2013-07,54
2013-08,34
2013-09,34
2013-10,55
2013-11,42
2013-12,46
2014-01,58
2014-02,34
2014-03,28
2014-04,44
2014-05,54
2014-06,55
2014-07,47
2014-08,53
2014-09,51
2014-10,55
2014-11,52
2014-12,44
2015-01,49
2015-02,28
2015-03,36
2015-04,37
2015-05,40
2015-06,39
2015-07,38
2015-08,31
2015-09,35
2015-10,31
2015-11,32
2015-12,27
2016-01,24
2016-02,26
2016-03,24
2016-04,27
2016-05,31
2016-06,27
2016-07,31
2016-08,14
2016-09,23
2016-10,23
2016-11,26
2016-12,21
2017-01,27
2017-02,19
2017-03,17
2017-04,26
2017-05,25
2017-06,33
2017-07,27
2017-08,20
2017-09,31
2017-10,24
2017-11,30
2017-12,19
2018-01,31
2018-02,26
2018-03,26
2018-04,26
2018-05,29
2018-06,28
2018-07,26
2018-08,13
2018-09,20
2018-10,19
2018-11,24
2018-12,32
2019-01,37
2019-02,22
2019-03,65
2019-04,38
2019-05,100
2019-06,43
2019-07,32
2019-08,26
2019-09,28
2019-10,47
2019-11,34
2019-12,43
2020-01,45
2020-02,37
2020-03,36
2020-04,30
2020-05,33
2020-06,37
2020-07,42
2020-08,41
2020-09,40
2020-10,34
2020-11,26
2020-12,24
2021-01,22
2021-02,27
2021-03,17
2021-04,23
2021-05,28
2021-06,27
2021-07,22
2021-08,22
2021-09,18
2021-10,18
2021-11,20
2021-12,21
2022-01,31
2022-02,26
2022-03,23
2022-04,22
2022-05,32
2022-06,26
2022-07,22
2022-08,20
2022-09,24
2022-10,23
2022-11,20
2022-12,20
2023-01,28
2023-02,18
2023-03,15
2023-04,25
2023-05,21
2023-06,24
2023-07,20
2023-08,18
2023-09,21
2023-10,21
2023-11,22
2023-12,20
2024-01,22
2024-02,27
2024-03,18
2024-04,24
2024-05,27
2024-06,17
2024-07,20
2024-08,23
2024-09,17
