カテゴリ: すべてのカテゴリ

月,財政政策: (日本)
2012-12,57
2013-01,100
2013-02,62
2013-03,43
2013-04,54
2013-05,55
2013-06,63
2013-07,72
2013-08,35
2013-09,35
2013-10,45
2013-11,41
2013-12,36
2014-01,82
2014-02,42
2014-03,29
2014-04,31
2014-05,33
2014-06,39
2014-07,62
2014-08,28
2014-09,25
2014-10,26
2014-11,46
2014-12,36
2015-01,62
2015-02,21
2015-03,25
2015-04,35
2015-05,32
2015-06,34
2015-07,64
2015-08,25
2015-09,26
2015-10,35
2015-11,25
2015-12,37
2016-01,68
2016-02,45
2016-03,34
2016-04,28
2016-05,43
2016-06,43
2016-07,62
2016-08,32
2016-09,21
2016-10,27
2016-11,40
2016-12,37
2017-01,61
2017-02,38
2017-03,30
2017-04,28
2017-05,29
2017-06,32
2017-07,53
2017-08,24
2017-09,18
2017-10,32
2017-11,33
2017-12,34
2018-01,63
2018-02,35
2018-03,23
2018-04,20
2018-05,26
2018-06,28
2018-07,42
2018-08,20
2018-09,21
2018-10,29
2018-11,30
2018-12,30
2019-01,49
2019-02,41
2019-03,17
2019-04,18
2019-05,20
2019-06,30
2019-07,46
2019-08,21
2019-09,18
2019-10,29
2019-11,34
2019-12,36
2020-01,48
2020-02,38
2020-03,53
2020-04,39
2020-05,48
2020-06,59
2020-07,70
2020-08,50
2020-09,36
2020-10,43
2020-11,51
2020-12,52
2021-01,75
2021-02,46
2021-03,30
2021-04,24
2021-05,36
2021-06,39
2021-07,56
2021-08,28
2021-09,35
2021-10,47
2021-11,52
2021-12,60
2022-01,80
2022-02,52
2022-03,28
2022-04,31
2022-05,38
2022-06,46
2022-07,70
2022-08,25
2022-09,28
2022-10,48
2022-11,52
2022-12,48
2023-01,79
2023-02,51
2023-03,27
2023-04,27
2023-05,35
2023-06,49
2023-07,60
2023-08,28
2023-09,31
2023-10,45
2023-11,61
2023-12,55
2024-01,83
2024-02,67
2024-03,35
2024-04,31
2024-05,40
2024-06,48
2024-07,59
2024-08,33
2024-09,56
