カテゴリ: すべてのカテゴリ

月,政府支出: (日本)
2012-12,29
2013-01,70
2013-02,30
2013-03,14
2013-04,26
2013-05,19
2013-06,45
2013-07,70
2013-08,24
2013-09,14
2013-10,27
2013-11,24
2013-12,26
2014-01,57
2014-02,21
2014-03,18
2014-04,18
2014-05,23
2014-06,43
2014-07,49
2014-08,15
2014-09,16
2014-10,26
2014-11,25
2014-12,27
2015-01,51
2015-02,17
2015-03,0
2015-04,15
2015-05,29
2015-06,25
2015-07,67
2015-08,16
2015-09,18
2015-10,25
2015-11,37
2015-12,39
2016-01,56
2016-02,23
2016-03,17
2016-04,10
2016-05,28
2016-06,29
2016-07,58
2016-08,14
2016-09,16
2016-10,19
2016-11,34
2016-12,35
2017-01,63
2017-02,13
2017-03,8
2017-04,16
2017-05,21
2017-06,41
2017-07,61
2017-08,21
2017-09,11
2017-10,22
2017-11,39
2017-12,24
2018-01,61
2018-02,25
2018-03,14
2018-04,14
2018-05,22
2018-06,34
2018-07,57
2018-08,15
2018-09,13
2018-10,35
2018-11,35
2018-12,23
2019-01,56
2019-02,16
2019-03,11
2019-04,16
2019-05,26
2019-06,36
2019-07,50
2019-08,17
2019-09,20
2019-10,23
2019-11,27
2019-12,32
2020-01,54
2020-02,24
2020-03,11
2020-04,22
2020-05,41
2020-06,87
2020-07,100
2020-08,53
2020-09,19
2020-10,50
2020-11,55
2020-12,62
2021-01,77
2021-02,24
2021-03,15
2021-04,20
2021-05,42
2021-06,54
2021-07,74
2021-08,22
2021-09,17
2021-10,38
2021-11,51
2021-12,53
2022-01,79
2022-02,30
2022-03,20
2022-04,24
2022-05,52
2022-06,62
2022-07,67
2022-08,27
2022-09,19
2022-10,43
2022-11,67
2022-12,63
2023-01,99
2023-02,39
2023-03,16
2023-04,32
2023-05,51
2023-06,50
2023-07,81
2023-08,24
2023-09,20
2023-10,45
2023-11,72
2023-12,55
2024-01,72
2024-02,31
2024-03,18
2024-04,32
2024-05,50
2024-06,57
2024-07,71
2024-08,25
2024-09,24
