カテゴリ: すべてのカテゴリ

月,金利: (日本)
2012-12,35
2013-01,43
2013-02,41
2013-03,37
2013-04,42
2013-05,65
2013-06,50
2013-07,40
2013-08,32
2013-09,36
2013-10,34
2013-11,35
2013-12,35
2014-01,37
2014-02,33
2014-03,32
2014-04,31
2014-05,32
2014-06,38
2014-07,33
2014-08,31
2014-09,35
2014-10,34
2014-11,35
2014-12,38
2015-01,45
2015-02,45
2015-03,38
2015-04,36
2015-05,34
2015-06,39
2015-07,34
2015-08,29
2015-09,31
2015-10,31
2015-11,33
2015-12,35
2016-01,58
2016-02,100
2016-03,56
2016-04,42
2016-05,42
2016-06,43
2016-07,38
2016-08,37
2016-09,41
2016-10,33
2016-11,39
2016-12,37
2017-01,41
2017-02,44
2017-03,38
2017-04,33
2017-05,34
2017-06,38
2017-07,33
2017-08,30
2017-09,33
2017-10,33
2017-11,34
2017-12,33
2018-01,40
2018-02,45
2018-03,34
2018-04,33
2018-05,35
2018-06,35
2018-07,35
2018-08,37
2018-09,35
2018-10,35
2018-11,33
2018-12,31
2019-01,35
2019-02,38
2019-03,34
2019-04,30
2019-05,30
2019-06,35
2019-07,31
2019-08,29
2019-09,34
2019-10,28
2019-11,31
2019-12,32
2020-01,34
2020-02,34
2020-03,41
2020-04,33
2020-05,32
2020-06,38
2020-07,33
2020-08,29
2020-09,31
2020-10,30
2020-11,28
2020-12,30
2021-01,36
2021-02,44
2021-03,43
2021-04,31
2021-05,31
2021-06,34
2021-07,28
2021-08,27
2021-09,31
2021-10,30
2021-11,30
2021-12,29
2022-01,41
2022-02,44
2022-03,40
2022-04,46
2022-05,39
2022-06,46
2022-07,35
2022-08,35
2022-09,43
2022-10,42
2022-11,42
2022-12,54
2023-01,50
2023-02,44
2023-03,40
2023-04,38
2023-05,35
2023-06,36
2023-07,41
2023-08,40
2023-09,45
2023-10,47
2023-11,53
2023-12,45
2024-01,50
2024-02,44
2024-03,95
2024-04,55
2024-05,55
2024-06,48
2024-07,46
2024-08,59
2024-09,57
