カテゴリ: すべてのカテゴリ

月,長期金利: (日本)
2012-12,17
2013-01,23
2013-02,18
2013-03,20
2013-04,34
2013-05,100
2013-06,54
2013-07,31
2013-08,19
2013-09,17
2013-10,15
2013-11,15
2013-12,14
2014-01,13
2014-02,10
2014-03,10
2014-04,12
2014-05,14
2014-06,13
2014-07,12
2014-08,13
2014-09,13
2014-10,12
2014-11,15
2014-12,14
2015-01,23
2015-02,30
2015-03,20
2015-04,17
2015-05,18
2015-06,24
2015-07,16
2015-08,13
2015-09,11
2015-10,8
2015-11,8
2015-12,9
2016-01,14
2016-02,40
2016-03,13
2016-04,11
2016-05,9
2016-06,14
2016-07,13
2016-08,16
2016-09,21
2016-10,12
2016-11,23
2016-12,20
2017-01,15
2017-02,19
2017-03,13
2017-04,13
2017-05,11
2017-06,11
2017-07,13
2017-08,10
2017-09,11
2017-10,10
2017-11,10
2017-12,9
2018-01,12
2018-02,32
2018-03,11
2018-04,13
2018-05,13
2018-06,10
2018-07,18
2018-08,17
2018-09,9
2018-10,16
2018-11,10
2018-12,11
2019-01,9
2019-02,9
2019-03,10
2019-04,9
2019-05,8
2019-06,10
2019-07,9
2019-08,10
2019-09,10
2019-10,7
2019-11,10
2019-12,9
2020-01,7
2020-02,9
2020-03,15
2020-04,8
2020-05,6
2020-06,7
2020-07,5
2020-08,6
2020-09,6
2020-10,6
2020-11,9
2020-12,7
2021-01,12
2021-02,44
2021-03,58
2021-04,24
2021-05,19
2021-06,20
2021-07,13
2021-08,11
2021-09,13
2021-10,19
2021-11,16
2021-12,11
2022-01,20
2022-02,19
2022-03,19
2022-04,20
2022-05,19
2022-06,25
2022-07,17
2022-08,17
2022-09,19
2022-10,20
2022-11,17
2022-12,49
2023-01,26
2023-02,17
2023-03,17
2023-04,13
2023-05,12
2023-06,11
2023-07,23
2023-08,21
2023-09,23
2023-10,41
2023-11,33
2023-12,22
2024-01,19
2024-02,15
2024-03,18
2024-04,17
2024-05,32
2024-06,23
2024-07,17
2024-08,16
2024-09,12
