カテゴリ: すべてのカテゴリ

月,短期金利: (日本)
2012-12,29
2013-01,47
2013-02,43
2013-03,42
2013-04,45
2013-05,82
2013-06,100
2013-07,49
2013-08,38
2013-09,35
2013-10,33
2013-11,36
2013-12,42
2014-01,35
2014-02,24
2014-03,27
2014-04,20
2014-05,30
2014-06,32
2014-07,37
2014-08,32
2014-09,33
2014-10,33
2014-11,38
2014-12,31
2015-01,33
2015-02,31
2015-03,28
2015-04,30
2015-05,34
2015-06,26
2015-07,31
2015-08,15
2015-09,19
2015-10,21
2015-11,22
2015-12,24
2016-01,32
2016-02,66
2016-03,33
2016-04,29
2016-05,23
2016-06,25
2016-07,21
2016-08,21
2016-09,32
2016-10,21
2016-11,23
2016-12,25
2017-01,26
2017-02,21
2017-03,22
2017-04,23
2017-05,20
2017-06,24
2017-07,20
2017-08,19
2017-09,24
2017-10,23
2017-11,29
2017-12,22
2018-01,27
2018-02,27
2018-03,20
2018-04,21
2018-05,24
2018-06,22
2018-07,25
2018-08,29
2018-09,21
2018-10,25
2018-11,21
2018-12,29
2019-01,22
2019-02,17
2019-03,20
2019-04,21
2019-05,17
2019-06,22
2019-07,18
2019-08,23
2019-09,26
2019-10,19
2019-11,21
2019-12,17
2020-01,18
2020-02,18
2020-03,25
2020-04,19
2020-05,17
2020-06,20
2020-07,17
2020-08,19
2020-09,19
2020-10,17
2020-11,16
2020-12,17
2021-01,20
2021-02,27
2021-03,30
2021-04,22
2021-05,24
2021-06,29
2021-07,16
2021-08,18
2021-09,17
2021-10,29
2021-11,20
2021-12,22
2022-01,31
2022-02,38
2022-03,33
2022-04,33
2022-05,26
2022-06,42
2022-07,32
2022-08,26
2022-09,33
2022-10,33
2022-11,32
2022-12,81
2023-01,58
2023-02,38
2023-03,29
2023-04,32
2023-05,28
2023-06,29
2023-07,42
2023-08,48
2023-09,47
2023-10,61
2023-11,62
2023-12,44
2024-01,39
2024-02,41
2024-03,87
2024-04,53
2024-05,58
2024-06,46
2024-07,63
2024-08,77
2024-09,55
