カテゴリ: すべてのカテゴリ

月,高齢化社会: (日本)
2012-12,53
2013-01,82
2013-02,64
2013-03,39
2013-04,56
2013-05,59
2013-06,77
2013-07,77
2013-08,67
2013-09,62
2013-10,75
2013-11,69
2013-12,63
2014-01,89
2014-02,67
2014-03,43
2014-04,60
2014-05,68
2014-06,75
2014-07,100
2014-08,75
2014-09,71
2014-10,74
2014-11,77
2014-12,60
2015-01,81
2015-02,53
2015-03,39
2015-04,53
2015-05,61
2015-06,69
2015-07,83
2015-08,67
2015-09,63
2015-10,77
2015-11,72
2015-12,66
2016-01,80
2016-02,58
2016-03,45
2016-04,44
2016-05,57
2016-06,66
2016-07,78
2016-08,74
2016-09,56
2016-10,66
2016-11,67
2016-12,54
2017-01,75
2017-02,49
2017-03,62
2017-04,48
2017-05,62
2017-06,67
2017-07,71
2017-08,74
2017-09,60
2017-10,72
2017-11,72
2017-12,61
2018-01,74
2018-02,60
2018-03,35
2018-04,53
2018-05,64
2018-06,64
2018-07,72
2018-08,68
2018-09,60
2018-10,67
2018-11,62
2018-12,53
2019-01,76
2019-02,49
2019-03,37
2019-04,47
2019-05,55
2019-06,66
2019-07,68
2019-08,58
2019-09,54
2019-10,58
2019-11,61
2019-12,53
2020-01,68
2020-02,49
2020-03,44
2020-04,41
2020-05,83
2020-06,72
2020-07,74
2020-08,67
2020-09,56
2020-10,64
2020-11,68
2020-12,52
2021-01,66
2021-02,53
2021-03,30
2021-04,45
2021-05,65
2021-06,74
2021-07,76
2021-08,57
2021-09,68
2021-10,65
2021-11,74
2021-12,54
2022-01,74
2022-02,63
2022-03,32
2022-04,51
2022-05,57
2022-06,75
2022-07,81
2022-08,61
2022-09,62
2022-10,75
2022-11,79
2022-12,61
2023-01,73
2023-02,60
2023-03,33
2023-04,46
2023-05,64
2023-06,76
2023-07,79
2023-08,60
2023-09,66
2023-10,70
2023-11,76
2023-12,60
2024-01,71
2024-02,61
2024-03,35
2024-04,58
2024-05,68
2024-06,77
2024-07,82
2024-08,49
2024-09,64
