カテゴリ: すべてのカテゴリ

月,少子化: (日本)
2012-12,26
2013-01,33
2013-02,18
2013-03,13
2013-04,21
2013-05,34
2013-06,33
2013-07,35
2013-08,29
2013-09,23
2013-10,24
2013-11,32
2013-12,26
2014-01,33
2014-02,23
2014-03,17
2014-04,22
2014-05,37
2014-06,47
2014-07,48
2014-08,33
2014-09,31
2014-10,35
2014-11,35
2014-12,33
2015-01,39
2015-02,28
2015-03,22
2015-04,29
2015-05,39
2015-06,41
2015-07,45
2015-08,30
2015-09,28
2015-10,34
2015-11,34
2015-12,31
2016-01,35
2016-02,31
2016-03,24
2016-04,23
2016-05,32
2016-06,32
2016-07,37
2016-08,29
2016-09,24
2016-10,27
2016-11,32
2016-12,29
2017-01,37
2017-02,26
2017-03,18
2017-04,24
2017-05,29
2017-06,32
2017-07,37
2017-08,34
2017-09,29
2017-10,34
2017-11,36
2017-12,30
2018-01,36
2018-02,25
2018-03,18
2018-04,25
2018-05,34
2018-06,36
2018-07,39
2018-08,32
2018-09,26
2018-10,33
2018-11,33
2018-12,29
2019-01,35
2019-02,28
2019-03,19
2019-04,32
2019-05,35
2019-06,37
2019-07,36
2019-08,29
2019-09,27
2019-10,32
2019-11,30
2019-12,41
2020-01,35
2020-02,26
2020-03,17
2020-04,22
2020-05,46
2020-06,44
2020-07,41
2020-08,38
2020-09,33
2020-10,38
2020-11,36
2020-12,32
2021-01,34
2021-02,29
2021-03,21
2021-04,27
2021-05,35
2021-06,48
2021-07,44
2021-08,33
2021-09,36
2021-10,41
2021-11,38
2021-12,33
2022-01,35
2022-02,32
2022-03,20
2022-04,27
2022-05,38
2022-06,53
2022-07,53
2022-08,40
2022-09,39
2022-10,41
2022-11,49
2022-12,42
2023-01,100
2023-02,69
2023-03,63
2023-04,73
2023-05,77
2023-06,96
2023-07,75
2023-08,49
2023-09,48
2023-10,50
2023-11,58
2023-12,50
2024-01,47
2024-02,56
2024-03,40
2024-04,42
2024-05,57
2024-06,77
2024-07,66
2024-08,50
2024-09,46
