カテゴリ: すべてのカテゴリ

月,労働市場: (日本)
2012-12,51
2013-01,90
2013-02,37
2013-03,38
2013-04,44
2013-05,61
2013-06,61
2013-07,93
2013-08,36
2013-09,40
2013-10,52
2013-11,56
2013-12,62
2014-01,72
2014-02,41
2014-03,35
2014-04,53
2014-05,44
2014-06,60
2014-07,81
2014-08,50
2014-09,44
2014-10,67
2014-11,58
2014-12,55
2015-01,81
2015-02,41
2015-03,46
2015-04,43
2015-05,47
2015-06,46
2015-07,70
2015-08,40
2015-09,44
2015-10,57
2015-11,53
2015-12,57
2016-01,73
2016-02,64
2016-03,46
2016-04,30
2016-05,48
2016-06,61
2016-07,67
2016-08,43
2016-09,44
2016-10,53
2016-11,58
2016-12,48
2017-01,77
2017-02,55
2017-03,37
2017-04,44
2017-05,48
2017-06,65
2017-07,70
2017-08,54
2017-09,35
2017-10,49
2017-11,56
2017-12,52
2018-01,67
2018-02,40
2018-03,31
2018-04,46
2018-05,47
2018-06,46
2018-07,62
2018-08,31
2018-09,36
2018-10,65
2018-11,58
2018-12,54
2019-01,66
2019-02,48
2019-03,28
2019-04,35
2019-05,42
2019-06,51
2019-07,61
2019-08,32
2019-09,35
2019-10,44
2019-11,43
2019-12,43
2020-01,65
2020-02,39
2020-03,29
2020-04,33
2020-05,63
2020-06,77
2020-07,88
2020-08,68
2020-09,34
2020-10,56
2020-11,45
2020-12,50
2021-01,66
2021-02,46
2021-03,29
2021-04,42
2021-05,49
2021-06,56
2021-07,66
2021-08,36
2021-09,27
2021-10,57
2021-11,60
2021-12,44
2022-01,77
2022-02,55
2022-03,34
2022-04,60
2022-05,57
2022-06,72
2022-07,77
2022-08,48
2022-09,45
2022-10,68
2022-11,65
2022-12,56
2023-01,87
2023-02,64
2023-03,39
2023-04,54
2023-05,70
2023-06,79
2023-07,89
2023-08,53
2023-09,54
2023-10,82
2023-11,69
2023-12,71
2024-01,94
2024-02,74
2024-03,48
2024-04,66
2024-05,76
2024-06,96
2024-07,100
2024-08,70
2024-09,88
