カテゴリ: すべてのカテゴリ

月,実質指数: (日本)
2012-12,0
2013-01,50
2013-02,0
2013-03,0
2013-04,0
2013-05,57
2013-06,0
2013-07,52
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,27
2014-01,42
2014-02,0
2014-03,0
2014-04,28
2014-05,36
2014-06,68
2014-07,48
2014-08,30
2014-09,62
2014-10,50
2014-11,84
2014-12,95
2015-01,38
2015-02,41
2015-03,48
2015-04,48
2015-05,48
2015-06,42
2015-07,59
2015-08,29
2015-09,26
2015-10,47
2015-11,32
2015-12,32
2016-01,72
2016-02,51
2016-03,40
2016-04,0
2016-05,25
2016-06,47
2016-07,41
2016-08,36
2016-09,34
2016-10,36
2016-11,29
2016-12,0
2017-01,54
2017-02,29
2017-03,0
2017-04,31
2017-05,37
2017-06,22
2017-07,37
2017-08,37
2017-09,33
2017-10,33
2017-11,47
2017-12,24
2018-01,30
2018-02,40
2018-03,0
2018-04,0
2018-05,35
2018-06,27
2018-07,36
2018-08,0
2018-09,0
2018-10,43
2018-11,0
2018-12,26
2019-01,54
2019-02,70
2019-03,0
2019-04,31
2019-05,37
2019-06,33
2019-07,34
2019-08,21
2019-09,23
2019-10,27
2019-11,27
2019-12,26
2020-01,40
2020-02,30
2020-03,21
2020-04,0
2020-05,15
2020-06,47
2020-07,38
2020-08,40
2020-09,28
2020-10,23
2020-11,36
2020-12,19
2021-01,24
2021-02,26
2021-03,23
2021-04,27
2021-05,32
2021-06,35
2021-07,34
2021-08,20
2021-09,24
2021-10,39
2021-11,52
2021-12,38
2022-01,49
2022-02,47
2022-03,36
2022-04,34
2022-05,62
2022-06,59
2022-07,65
2022-08,32
2022-09,48
2022-10,48
2022-11,56
2022-12,47
2023-01,84
2023-02,59
2023-03,35
2023-04,48
2023-05,52
2023-06,57
2023-07,51
2023-08,32
2023-09,42
2023-10,67
2023-11,73
2023-12,53
2024-01,59
2024-02,65
2024-03,63
2024-04,68
2024-05,75
2024-06,73
2024-07,100
2024-08,59
2024-09,54
