カテゴリ: すべてのカテゴリ

月,統計データ: (日本)
2012-12,65
2013-01,74
2013-02,60
2013-03,48
2013-04,52
2013-05,66
2013-06,78
2013-07,80
2013-08,57
2013-09,60
2013-10,75
2013-11,73
2013-12,77
2014-01,76
2014-02,59
2014-03,47
2014-04,59
2014-05,72
2014-06,86
2014-07,89
2014-08,54
2014-09,57
2014-10,72
2014-11,72
2014-12,70
2015-01,67
2015-02,61
2015-03,54
2015-04,65
2015-05,59
2015-06,69
2015-07,71
2015-08,46
2015-09,50
2015-10,61
2015-11,69
2015-12,67
2016-01,69
2016-02,59
2016-03,44
2016-04,56
2016-05,61
2016-06,67
2016-07,60
2016-08,51
2016-09,53
2016-10,59
2016-11,64
2016-12,58
2017-01,65
2017-02,58
2017-03,52
2017-04,56
2017-05,63
2017-06,65
2017-07,60
2017-08,55
2017-09,49
2017-10,60
2017-11,68
2017-12,61
2018-01,66
2018-02,53
2018-03,50
2018-04,64
2018-05,68
2018-06,70
2018-07,71
2018-08,61
2018-09,50
2018-10,61
2018-11,61
2018-12,58
2019-01,67
2019-02,63
2019-03,50
2019-04,54
2019-05,60
2019-06,60
2019-07,59
2019-08,52
2019-09,52
2019-10,60
2019-11,61
2019-12,60
2020-01,62
2020-02,56
2020-03,49
2020-04,57
2020-05,74
2020-06,75
2020-07,83
2020-08,62
2020-09,56
2020-10,68
2020-11,60
2020-12,58
2021-01,58
2021-02,52
2021-03,49
2021-04,65
2021-05,65
2021-06,67
2021-07,65
2021-08,53
2021-09,59
2021-10,58
2021-11,68
2021-12,68
2022-01,88
2022-02,73
2022-03,60
2022-04,81
2022-05,80
2022-06,81
2022-07,84
2022-08,63
2022-09,66
2022-10,78
2022-11,78
2022-12,70
2023-01,78
2023-02,69
2023-03,59
2023-04,73
2023-05,74
2023-06,86
2023-07,82
2023-08,71
2023-09,72
2023-10,91
2023-11,92
2023-12,79
2024-01,85
2024-02,73
2024-03,70
2024-04,91
2024-05,97
2024-06,99
2024-07,100
2024-08,74
2024-09,76
