カテゴリ: すべてのカテゴリ

月,総務省統計局: (日本)
2012-12,74
2013-01,78
2013-02,61
2013-03,47
2013-04,71
2013-05,67
2013-06,78
2013-07,82
2013-08,53
2013-09,99
2013-10,100
2013-11,58
2013-12,61
2014-01,71
2014-02,54
2014-03,36
2014-04,57
2014-05,76
2014-06,77
2014-07,86
2014-08,47
2014-09,57
2014-10,66
2014-11,70
2014-12,61
2015-01,68
2015-02,62
2015-03,39
2015-04,59
2015-05,61
2015-06,66
2015-07,66
2015-08,37
2015-09,89
2015-10,73
2015-11,62
2015-12,59
2016-01,50
2016-02,40
2016-03,33
2016-04,37
2016-05,39
2016-06,75
2016-07,43
2016-08,29
2016-09,36
2016-10,41
2016-11,46
2016-12,42
2017-01,43
2017-02,38
2017-03,25
2017-04,35
2017-05,41
2017-06,37
2017-07,37
2017-08,27
2017-09,32
2017-10,40
2017-11,41
2017-12,38
2018-01,46
2018-02,28
2018-03,27
2018-04,28
2018-05,29
2018-06,32
2018-07,33
2018-08,32
2018-09,43
2018-10,39
2018-11,36
2018-12,31
2019-01,34
2019-02,26
2019-03,19
2019-04,23
2019-05,25
2019-06,36
2019-07,30
2019-08,24
2019-09,28
2019-10,31
2019-11,32
2019-12,28
2020-01,32
2020-02,26
2020-03,18
2020-04,22
2020-05,26
2020-06,42
2020-07,38
2020-08,28
2020-09,36
2020-10,38
2020-11,35
2020-12,37
2021-01,29
2021-02,26
2021-03,17
2021-04,23
2021-05,27
2021-06,36
2021-07,31
2021-08,19
2021-09,20
2021-10,23
2021-11,29
2021-12,30
2022-01,29
2022-02,21
2022-03,15
2022-04,22
2022-05,28
2022-06,30
2022-07,29
2022-08,21
2022-09,25
2022-10,35
2022-11,30
2022-12,27
2023-01,27
2023-02,21
2023-03,17
2023-04,24
2023-05,23
2023-06,30
2023-07,33
2023-08,25
2023-09,34
2023-10,34
2023-11,35
2023-12,27
2024-01,26
2024-02,21
2024-03,16
2024-04,31
2024-05,37
2024-06,36
2024-07,32
2024-08,30
2024-09,37
