カテゴリ: すべてのカテゴリ

月,時系列分析: (日本)
2012-12,61
2013-01,38
2013-02,25
2013-03,41
2013-04,34
2013-05,68
2013-06,60
2013-07,71
2013-08,60
2013-09,38
2013-10,56
2013-11,52
2013-12,50
2014-01,62
2014-02,54
2014-03,50
2014-04,59
2014-05,66
2014-06,68
2014-07,94
2014-08,54
2014-09,64
2014-10,50
2014-11,74
2014-12,53
2015-01,60
2015-02,57
2015-03,53
2015-04,66
2015-05,65
2015-06,57
2015-07,76
2015-08,51
2015-09,45
2015-10,72
2015-11,46
2015-12,65
2016-01,68
2016-02,50
2016-03,47
2016-04,57
2016-05,51
2016-06,73
2016-07,43
2016-08,59
2016-09,63
2016-10,69
2016-11,82
2016-12,87
2017-01,70
2017-02,44
2017-03,57
2017-04,64
2017-05,63
2017-06,59
2017-07,61
2017-08,56
2017-09,66
2017-10,51
2017-11,66
2017-12,81
2018-01,60
2018-02,69
2018-03,72
2018-04,74
2018-05,71
2018-06,80
2018-07,83
2018-08,54
2018-09,71
2018-10,70
2018-11,80
2018-12,76
2019-01,75
2019-02,62
2019-03,60
2019-04,69
2019-05,89
2019-06,70
2019-07,68
2019-08,46
2019-09,57
2019-10,72
2019-11,93
2019-12,70
2020-01,77
2020-02,56
2020-03,67
2020-04,66
2020-05,76
2020-06,79
2020-07,83
2020-08,69
2020-09,55
2020-10,42
2020-11,69
2020-12,83
2021-01,68
2021-02,49
2021-03,40
2021-04,60
2021-05,54
2021-06,77
2021-07,74
2021-08,51
2021-09,55
2021-10,58
2021-11,73
2021-12,60
2022-01,96
2022-02,68
2022-03,68
2022-04,63
2022-05,68
2022-06,78
2022-07,60
2022-08,53
2022-09,74
2022-10,73
2022-11,74
2022-12,75
2023-01,69
2023-02,59
2023-03,66
2023-04,63
2023-05,80
2023-06,71
2023-07,80
2023-08,66
2023-09,68
2023-10,83
2023-11,79
2023-12,77
2024-01,99
2024-02,75
2024-03,65
2024-04,80
2024-05,90
2024-06,94
2024-07,100
2024-08,72
2024-09,76
